title,reviews
Crusader Kings III,"Posted: 5 February
내 플레이 시간을 봐라"
Crusader Kings III,"Posted: 14 January
이 겜 살고민중이면 다이렉트겜즈서 크킹3 로얄에디션 35000에 사서 하셈"
Crusader Kings III,"Posted: 30 November, 2020
DLC를 욕하면서 누구보다 DLC를 기다리는 유저들의 모임터"
Crusader Kings III,"Posted: 4 June, 2021
자식을 너무 많이 나으면 영토가 쪼개져서 망테크를 타게 된다
자식을 너무 적게 낳으면 자식이 살해당한 뒤 망캐 친척이 후계자가 되어 망테크를 타게 된다

동맹이 없으면 다굴 맞아서 망테크를 타게 된다
동맹이 많으면 지원다니다 망테크를 타게 된다

백성의 ㅈㄹ과 신하의 ㅈㄹ과 가족들의 ㅈㄹ을 이겨낼 수 있을 정도로 능숙해질 때쯤에는
현실세계의 내가 망테크를 타고 있게된다

결론 : 일단 손대면 무조건 망테크를 타게 되는 게임"
Crusader Kings III,"Posted: 31 December, 2020
왕권이 강해질수록, 국가가 강해질수록

점점 봉신들이 지들끼리 모여서 작당회의를 하기 시작했다.

파벌이 생겨, 내 왕권에 위협이 되었다.

파벌의 우두머리를 암살하고, 적국 포로들의 목을 땄다.

알아서 벌벌 기는 봉신들을 보며 좋아했다.

이런 나를 보며 사람들은 나를 살인자라고 불렀다.

또,

나에겐 세 아들들이 있었다.

첫째와 둘째는 사별하기전 첫째부인과 낳은 아이들이였고, 셋째는 재혼하고나서 낳은 아이였다.

첫째는 기만적이고, 편집증이 있으며, 질병을 앓고 있었다.

둘째는 음탕하고, 게걸스러워 후계자가 될 재목이 아니였다.

그리고 마지막 다른 형제들과 이복형제인 셋째는, 아들들중 가장 영특했으며 사교적이였고 가문에 영광을 가져다줄 천재였다.

나는 고심했다. 첫째부인과 그렇게 금슬이 좋았는데, 가문을 위해 내 손에 피를 묻혀야 하는가?

사흘 밤낮을 고민했다. 스트레스는 높아져만 가고, 술로 고통을 잊었다. 어느샌가 사람들은 나를 술고래라고 불렀다.

그래도 없어지지 않는 스트레스와 환각 증세때문에, 성 안의 탑에 칩거하는 일이 늘었다. 사람들을 나를 은둔자라고 불렀다.

나는 가문을 위해서라는 변명으로 첫째와 둘째를 고문하기로 마음 먹었다.

아들들의 비명이 들릴때마다 내 스트레스는 머리 끝까지 차올랐고, 환각증세도 심해졌다.

고문이 끝난후, 차디찬 지하 감옥에 내가 사랑했던 전부인이 낳은 아들들을 넣어버렸다.

봉신들은 나의 이러한 행태를 보고, 수군댔다.

하지만 누구하나 나에게 반박하지 못했다. 파벌이 모일때마다 갇혀있던 죄수들의 목이 열매가 낙과하듯이 떨어지는 걸 보곤 말이다.

나는 귀를 닫았다. 항간에는 나를 욕하며 손가락질 하지만, 아랑곳 하지 않았다.

나는 나의 가문을 위해 욕을 먹을 준비가 되어있던 남자였다.

어느덧 내 나이 65세. 죽음이 다가왔다.

첫째는 지하감옥에서 싸늘한 주검이 되었고,

악착같은 둘째는 차디찬 곳에서 하루하루를 연명했다.

살 날이 얼마 남지 않았던 난, 결국 선을 넘었다.

싸늘했던 독방에 피가 흩뿌려졌다.


이제 사람들은 나를 친족 살해자라고 불렀다."
Crusader Kings III,"Posted: 2 September, 2020
스팀 라이브러리->크루세이더 킹즈 3 우클릭-> 속성->시작옵션-> -debug_mode입력 후 인게임 ` 키

이렇게 하니깐 콘솔창도 켜지고 디버그메뉴도 사용가능 해지네요.



콘솔 커맨드는 여기 있고. 언제나 처럼 무난한 콘솔 커맨드 는

gold,cash,dough [얻고 싶은 양] - [얻고 싶은 양] 만큼 골드 추가 예:) gold 999999

add_piety(piety) [얻고 싶은 양] - [얻고 싶은 양] 만큼 신앙심 추가 예:) piety 999999

add_prestige(prestige) [얻고 싶은 양] - [얻고 싶은 양] 만큼 명성 추가 예:) prestige 999999

dynasty_prestige [얻고 싶은 양] - [얻고 싶은 양] 만큼 가문 명성 추가 예:) dynasty_prestige 999999

gain_all_perks - 플레이어 캐릭터가 모든 인생관 퍽 획득

gain_all_dynasty_perks - 모든 가문 유산 획득

discover_all_eras - 모든 문화 혁신 획득

change_diplomacy 100 --> 플레이어 캐릭터의 외교술 수치가 100이됨

change_martial 100 --> 플레이어 캐릭터의 전투력 수치가 100이됨

change_stewardship 100 --> 플레이어 캐릭터의 관리력 수치가 100이됨

change_intrigue 100 --> 플레이어 캐릭터의 계책 수치가 100이됨

change_learning 100 --> 플레이어 캐릭터의 학습 수치가 100이됨

change_prowess 100 --> 플레이어 캐릭터의 기량 수치가 100이 됨

yesmen,yesman,debug_yesmen,ym - AI가 플레이어 제안에 항상 동의. 예:) yesmen

instabuild(응? 스펠링틀린거 아닌가?) , quickbuild - 플레이어만 건설에 걸리는 시간 하루 예:) quickbuild

이렇게 하면 거의 모든걸 재밋게 즐길 듯 합니다. 컨 , 셉 플레이도요. 히힣"
Crusader Kings III,"Posted: 4 September, 2020
크킹2 1200시간 유저로 말씀드리면
이 게임은 땅을 많이 정복하려고 하는 게임이 아닙니다. 오히려 1세대에서 땅을 많이 정복해놓고 죽으니 상속법에 따라 분할되어 나라가 나뉘거나 장자가 다 가져간다고 하더라도 형제들이 내 자리를 노리고 암살을 시도할 것이며 내가 왕의 봉신이라면 왕이 날조한 문서를 내밀며 그 땅 내 원래 내 땅하며 땅을 빼앗아 갈 것입니다.

처음부터 왕으로 시작하는 것이 아니라면 몇 십년간 수많은 전쟁과 날조를 통해 왕이 될 수 있겠지만 자식을 왕족과 결혼 시켜놨는데 어느 순간 왕족이 줄줄이 초상이나 내 자식이 낳은 손자가 왕위 계승자가 되어 있을때도 있습니다.

천재 달린 아내 또는 좋은 가문 아내에 대한 선택을 항상 하게 되며 설령 좋은 집안에 천재가 달린 아내와 결혼해도 폐경까지 딸만 낳게 되었다면 남녀평등교리가 아닌 이상 어떻게든 작위 계승을 위해 아내를 어떻게 콘크리트 속에 넣고 재혼 각을 세울지 또는 불륜으로 일단 서자를 만들지 생각하게 됩니다.

좋은 트레잇과 가문간의 결혼을 통해 작위 명분이 있는 아들에게 계승하기 위해 장자를 배에 태워 죽이고 차남을 이교도 선교사로 보내 죽이고 삼남을 수도원 보내고 사남을 전쟁터에 세워 죽여놨더니 갑작스러운 역병으로 막내가 비명횡사할때는 새로시작을 누르면 됩니다.

결론 - 이 게임은 전쟁을 통한 정복보다 정치와 파벌을 이용해 작위 날치기해서 왕과 황제가 될 수 있는 게임이다. 정치가 머리 아프고 화려한 대규모 전투를 통한 땅 따먹기 게임할 거면 토탈워 해라."
Crusader Kings III,"Posted: 4 September, 2020
공략 몇개 적어봅니다. 피와 눈물 그리고 빡종으로 배웠습니다...


0. 전쟁을 걸때, 상대방이 동원할 수 있는 병력 수 꼭 확인하세요. 동맹 AI들 정말 착해서 무조건 도와주러 옵니다;



1. 후계자 또는 후계자후보인 친족이 ""기사""인지 항상 확인합시다.

전쟁중에 비명횡사하면 정말 당황스럽습니다. 전쟁 전 기사 목록을 항상 체크하고 중요 캐릭터를 ""금지"" 하세요.



2. 전쟁중에 적이 나 또는 후계자의 수도 남작령을 공략하는 걸 절대로 방치하지 마세요.

수도가 따이면 가끔 내 중요캐릭터(본인 또는 후계자)가 참수당합니다. 전쟁에서 이겨도 빡종합니다.



3. 명분을 조작할 때, 해당 백작령의 공작령이 생성되었고, 그 공작위를 백작령을 가진 캐릭터가 보유 중인지 확인하세요.

공작령 명분 그냥 들어오겠거니 막 조작 돌리는데, 시-발 10년동안 백작령만 조작하는 뻘짓해서 이유를 보니 공작위가 없었음;



4. 초반에 건물 뭐 짓는지 잘 모르겠다 싶으면 병력 올리는 건물 지으세요. 개발도? 그건 정복해서 영지 갈아타면 됩니다.



5. 결혼동맹을 이용하되, 좀 급이 맞는 귀족이랑 결혼동맹하세요. 안그러면 AI가 님 존나 불러댑니다.

그리고 동맹 부르는거 엄청 수월해져서 결혼동맹 적극적으로 이용하는거 추천드립니다.



6. 쉬지않고 자국 문화, 종교로 영토들을 변환시키세요. 안그러면 제국령단위로 빅토마냥 백성들 반란일어나는거 보게 됩니다.




7. 같은 종교지도자를 가지고 있는 대상을 상대로 명분요청이 가능한지 계속 확인하세요. 어린애, 여자, 사악한자 등을 상대로

공작령, 왕국령 명분 퍼줍니다.



8. 기사는 항상 관리하세요. 바이킹 기사 10명이 500명 썬거도 봤습니다. ㅡㅡ, 끊임없이 기사 불러모읍시다.



9. 전쟁이 끊이지 않을거 같으면 기사들에게 새로 점령한 백작령들을 주세요. 그러면 전쟁통에 기사들 죽어나가서

다시 백작령이 돌아오는데, 그걸 이용해서 효율적인 백작령 관리가 가능합니다. 그러다 안정되면 씨족에게 분봉하면 되죠.



10. 신앙심 관리 잘하세요. 4-5단계가 되면 왕국령 성전이 생애 한번 가능합니다.




11. 집결지 여러개 만들 수 있으니까, 여러 요충지에 집결지 설정해서 잘 활용하세요.




12. 상속권 박탈을 적극적으로 이용하세요. 상속권 박탈하고 빈 영지 던져주면 장남도 꼼짝 못합니다."
Crusader Kings III,"Posted: 15 March
세상에 재미난 게임은 많고 많으며 끝없이 나온다. 그렇지만 나이 먹을수록 시간은 부족하다. 그래도 이름 높은 명작들은 해보고 싶었는데 그중에서도 대전략 게임에 도전하고 싶었다. 특히 도전해보고 싶은 게 토탈워와 패러독스 게임이었다. PC를 주플랫폼으로 하는 게이머로써 한번은 거쳐갈 과정이랄까.

패러독스 크킹2와 유로파4는 이미 몇 차례 도전했었다. 문제는 수시로 게임이 업데이트 되다보니 그때마다 일일히 카페에서 다운받아 깔아줘야 하는 유저 한패가 너무 피곤해서 거의 진입 장벽이 되었다. (요샌 스팀 창작모드로 자동 구독이 되긴한다.)

거기에 크킹과 유로파는 DLC들 덕분에 게임을 한번 제대로 시작하려면 기본적인 것만 모아도 10만원 넘는 돈이 드는데 재미를 모른 상태에서 도전하기엔 아무리 게임말고 돈쓰는 데 없는 게이머라고 해도 너무 무리인 게다.

결국 조금 깔짝이다 말고는 포기. 토탈 워 삼국 덕분에 토탈워를 먼저 경험했다. 원래 코에이 테크모의 DLC 장사보며 DLC팔이에 극혐인 편이었는데 토탈워 삼국 하며 게임만 재밌으면 지갑은 자동으로 열리는 것을 스스로 확인했다. DLC에 대한 거부감도 거의 사라진 것.

아무튼 그런 상황에서 토탈워 업데이트가 뜸해지고 다른 게임 찾을 무렵인 작년에 크킹3가 나왔다. 그때부터 듬성듬성 하긴 했지만 거의 1년 째 즐기고 있다. 크킹 완전 초보로 시작해서 곧 200시간에 금방 도달할 듯 하다.

일단 정식 한글화 퀄리티가 높은 편이라 즐기는 데 무척 쾌적하다. 툴팁이 엄청 많고 사전도 많은데 정성스레 전부 한글화 되어 있다. 게임 엔진이 바뀌며 그래픽도 개선됐고 메뉴도 훨씬 보기 편해졌다.

3편 첫플레이시에는 튜토리얼 격으로 친절하게 아일랜드로 플레이하도록 소개하며 게임플레이 초반을 알려주는데 당연히 그것만으로는 상당히 부족하긴 하지만 그래도 게임에 발을 걸칠 수는 있게 해준다. 삼국지식 땅따먹기와 다른 첫 진입 장벽은 영지를 뺏는 것이었다. 땅을 뺏는 전쟁에 명분이 반드시 필요하다. 아무리 여러곳을 점령하고 전쟁에서 승리해도 얻는 땅은 명분 있는 만큼만 얻게된다. 명분 마련은 주교시키면 되는데 이런 과정이 처음엔 조금 낯설기도 했다.

공략 좀 찾아보고 하면서 아일랜드 지고왕이 되었지만 스코틀랜드 좀 따먹으려 깔짝 대다 그쪽 동맹 맺은 잉글랜드에게 털리기 시작하더니 그뒤엔 스코틀랜드와 잉글랜드 밥이 되고 말았다. 그 사이 영주들이 자유 전쟁 일으키기 시작하니 멘탈이 털려버렸다. 돈 버는 것도 너무 힘들었고 전쟁 이기기도 외교도 가족 관리도 영주 관리도 무척 힘들었다. 역시 쉬운 게임이 아니구나 싶어 다시 몇차례 재도전을 했다.

일단 처음 아내를 얻는 것도 게임 시작 때마다 적당한 대상들이 달라지다보니 재시작을 하는 이유기도 했는데 당연히 첨엔 얼굴만 보거나 또는 능력만 보고 결혼했다. 역시 다시 하면 또 재미가 있었고 결혼하는 재미와 자식 낳는 재미만으로도 그렇게 작년 연말과 겨울을 보냈다.

점점 돈을 많이 벌어야겠다 싶어 관리 능력의 중요성을 알게 되었고 도시 개발과 상호작용하였다. 돈은 어느정도 벌리기 시작하는데 그래도 혼자힘으로 버티는 건 한계가 있었다. 전쟁은 기사나 무관장 능력치도 아니었다. 무조건 돈빨로 우수한 많은 병사를 모집해 물량전하는 게 답이었다. 그러기 위해 돈이 많이 필요했고 전투 능력은 뒷전이었다.

그때까진 동맹만 맺으면 자기네 전쟁에 열라 불러대는 게 외교라고 생각해 피하려 했다. 근데 날 부르는 만큼 내가 불러도 오는 것을 점점 알기 시작했다. 이제 혼자가 아니야! 자녀 손주 다 동원하니 동맹의 힘이 모아졌다.

그렇게 재미나게 하던 와중에 깨달은 사실은 백에 가까운 수십시간을 했는데도 여태 도전과제가 하나도 클리어되지 않고 있었던 거다. 철인 모드로 해야먄 클리어가 된다는 걸 그제서야 알았는데 안그래도 로드를 엄청나게 하며 즐기던 상태라 도전과제 관련 이슈에 직면한 순간 게임할 마음이 팍 식어버렸다. 도전과제가 부가적이긴 하지만 클리어가 안되면 그거대로 아쉬운데 그렇다고 철인모드로 하면 너무 어렵고 스트레스 받을 것 같았기 때문이다.

결국 몇달을 쉬다가 여름부터 다시 시도해보고 있었다. 이번엔 철인 모드로 시작했다. 첫 철인 도전이라 아주 어려운 건 도전하지 못하고 스코틀랜드로 시작했다. 이번엔 처음부터 잉글랜드와 노르웨이 신성로마제국 등 잘 나가는 국가들의 힘을 빌렸다. 대가 끊길 때마다 내분은 숱하게 터졌지만 결혼만 잘하면 위기 탈출 넘버원이 언제든 가능했다.

가장 극적인 때는 십자군 전쟁에 착출되어 병사 털리던 상태에서 갑자기 왕이 죽었고, 후계자가 장남으로 이어졌지만 차남을 비롯한 아들들, 다른 영주들이 반란을 일으킨거다. 심지어 잉글랜드의 영주들도 다른 영주랑 엮여서 동맹으로 쳐들어왔다. 급히 본토로 돌아왔지만 이미 병사는 1/3로 깎여있었고 가망이 없었다.

다행히 이전 왕이 늙을 때까지 살아서 장남은 자녀들을 여럿 데리고 있었다. 아들 딸들 전부 여러 나라에 결혼 제안해서 급히 동맹 맺고 총 동원하여 공격을 시작했다. 처음엔 본진까지 다 털리고 거의 포기상태에 가까웠는데 신성로마 제국 영주들은 왠만하면 1만단위 병력을 가진 이들이 있어서 몇몇 지원받아 반란군 놈들을 완전히 제압할 수 있었다. 일단 승리하고 나면 전부 영지 뺏아서 맘에 드는 이들 주면 되기에 내가 이기는 반란은 명예도 오르고 나쁘지 않다.

그런 위기들을 몇번 겪으면서 중간중간에 전투 능력치 높은 윌리엄 같은 왕도 등장해 공포 제조기로 영주들 반란 틀어막고 꾸준히 스코틀랜드를 확장해나가며 웨일즈도 먹고 아일랜드도 먹고 잉글랜드 깎아먹으며 잘 나가고 있다. 철인 모드로 도전과제도 잘 클리어해나가고 있다. 시간이 1300년대까지 넘어서 끝나기 전에 브리튼 통일을 못할까 걱정...

다만 아직 유일하게 계략 트리만큼은 제대로 타보질 못하길 했다. 크킹의 빅잼 요소라지만 아직 내 게임적 양심이 아내와 자식 친족들 죽이고 근친상간을 벌일 생각까진 못했다. 우수한 유전자 집안 트리를 다 개방했지만 하지만 게임 종료전에는 연산군 같은 왕도 한번 쯤 나타날 수는 있겠지.

계략까지 겪어보고 추가로 적는 부분.

2월 크킹3 로얄 코트 업데이트가 있어서 달렸다. 어케든 브리튼 제국 찍어보기 위해 정복왕 윌리엄으로 플레이 하는데 초반 고드윈에게 털리던 상황이 여러번 있어서 재플레이를 수차례 했다. 결혼 동맹으로 극복하게 됐고 겨우겨우 대를 이어가는데 왕권 강화를 하려고 해도 왕권 단계가 낮으니 왕위 세습만 하면 분열되고 반란나고...

1160년이 되어 몇번 분열과 수습을 반복하던 중 관리에 집중하던 방식으로 돈을 모으는 것을 몰두하다 그 다음대엔 계략에 특화된 아들을 키웠다. 헌데 그 와중에도 왕권은 2단계 밖에 안돼서 국내 왕권약화 목적의 자유 반란이 사방에서 터지고 있으니 도무지 답이 안나왔다. 왕권을 올렸다 싶으면 반란 터져 단계를 떨어뜨리는 거다. 프랑스에게도 털리며 노르망디 밑의 땅을 여럿 먹히는데도 할 수 있는게 없었다. 결국 전쟁 통에 수도 털린 뒤 왕이 잡혀서 12살 먹은 어린 아들에게 잉글랜드 왕위가 강제로 승계됐다. 다행히 아들이 셋 뿐이라 다른 두 녀석에겐 공작령 작위만 승계되고 말긴 했지만 이미 서너개의 전쟁이 벌어지던 중이고 애비가 폐위되며 동맹은 다 끊긴 상태라 답이 없어보였다. 왕권은 최하로 다시 하락.

놀랍게도 이 어린 아들은 엄청난 활약을 보였는데 우선 교황에게 모략을 걸어 호감을 챙긴 후 금전 지원 요청으로 쪼들리던 금을 받아 먹으며 용병을 계약하고 기존의 형제 동맹과 아직 뛰쳐나가지 않은 이들을 최대한 활용해서 내란을 수습했다. 다행히 어릴 때부터 자녀들이 생산되기 시작했고 바로바로 동맹 먹으며 내란은 수습됐다. 그 와중에 내란 종결하는 전쟁을 수습하는 중에 챙긴 권위가 엄청나서 순식간에 왕권를 3단계까지 강화했다. 그러고나니 작위를 뺏는게 가능해져서 반란 영주들을 죄다 추방하고 친인척과 우호적인 기사들에게 작위들 다시 뿌려주니 국내는 수습이 됐다. 20여년간 국정에 충실하게 돈을 벌고 결혼 동맹 때문에 원정을 다니고 하면서 챙긴 권위로 결국 왕권 4단계로 만들었다. 큰 아들에게 안정적으로 작위를 어느정도 몰아주면서 강한 왕권 승계 작업이 끝났다. 압도적인 공포를 이용한 안정적 독재. 이제 스코틀랜드 좀 족치면서 그대로 계속 플레이만 하면 될 것 같았는데...

갑자기 40세가 되자마자 급사했다. 예고는 있었다. 계략가인데 정직한 특성을 보유하다보니 선택과 무관하게 스트레스가 터지는 일이 많았다. 예민해서 단식도 하기도 했다보니 벌어질 일이었달까. 다행히도 아들이 승계를 받고도 잉글랜드 대부분의 작위를 가져가서 왕권에 큰 탈은 없었다. 근데 귀네드 공작령을 노리던 중 갑자기 스트레스가 터지기 시작했고, 선택지 하나가 떴다. 뭘 선택해도 도무지 스트레스 해소 답이 없길래 별일 있겠나 싶은 생각에 여태 한번도 안해본 다른 종파로의 개종을 눌러봤다.

단번에 신하들의 호감이 마이너스로 수십포인트 떨어지고 반란이 4개가 연달아 터졌다. 귀네드 공작령 싸움도 지리멸렬하던 상황에서 벌어진 반란. 쐐기는 교황이 잉글랜드를 목표로 한 십자군 개전 발표였다. 수만의 대군이 유럽에서 잉글랜드로 달려와 털기 시작했다. 5개의 전쟁이 전부 잉글랜드 왕위를 털기 위한 전쟁이었다. 여유있던 금전이 마이너스가 되고 병력 유지가 안되니 결국 두손 두발 다 들 수 밖에 없었다. 항복 또 항복. 이후로도 계속 반란은 일어나고 모든 전쟁에서 항복하니 잉글랜드 왕에서 모든 작위를 잃고 시골 구석 성 하나만 남긴 채 털려 버렸다. 철인 모드라 물릴 수가 없다...

어려웠던 상황이 이어지면 더 조심스럽게 했을 거다. 40년의 독재가 이어지면서 안정감이 느껴졌다. 누가 날 건드릴 수 있겠나 싶어 지른 한 순간의 선택 결과가 이와 같다. 누구도 따질 수가 없기에 독재 체제에선 그 의사결정의 파급력을 좀 처럼 상상하지 못한다. 그리고 후회할 때는 더 이상 돌이킬 수 있는 방법도 없다. 푸틴도 지금 그런 상황인 게 아닐까."
Crusader Kings III,"Posted: 4 April, 2021
처음 듀토리얼을 클리어 하고나서, 새로운 저만의 캐릭터를 만들어서 다시 시작했습니다.
위치는 듀토리얼과 동일하지만 여왕으로 시작했습니다. 이유는 듀토리얼을 끝내고 조금 이어가다 보니, 왕비가 딴놈과 정분이 났는데 그걸 모르고 저는 열심히 키웠던 것이 너무 짜증났습니다.
최소한 여왕으로 한다면 그 씨가 누구던, 내 배로 낳은 자식임에는 틀림없으니까요. 그래서 여왕으로 시작했습니다. 클리어 조건을 맞추기 위해 399포인트 까지 꽉 채워서 만들었습니다.
그러나 중세시대 유럽은 여왕에겐 쉽지 않았습니다. 일단 종교 자체에서 여왕의 호감도를 깎아먹고 시작했습니다. 하지만 굴하지 않았습니다. 듀토리얼로 단련이 되있던 저는, 나라를 세운 초기 왕들이 그러하듯 적극적 공세활동을 펼쳐 나갔습니다.

아, 제 실수입니다. 기사작위에서 아들놈을 빼놓지 않았습니다. 노블리스 오블리주를 실천하기 위해 최전방에서 노력하던 아들은 그렇게 왕가의 역사속 한 페이지가 되었습니다.
그러나 괜찮습니다. 저에겐 두 딸이 있었습니다. 더 이상 자식을 낳기에는 나이가 너무 많습니다. 제 딸에게는 좀더 좋은 나라를 주고 싶습니다. 아일레흐까지 점령한 저는 아일랜드 섬의 맹주가 되었습니다.

그러나 저는 왕으로써 할 수 있는 것이 많지 않았습니다.
사방에서 영주들은 보란듯이 파벌을 형성했다, 지웠다를 반복하고 있었으며
제 후계조차 마음껏 정할 수 없었습니다. 교회가 두 눈을 뜨고 바라보고 있었으며, 왕권은 너무도 미약했습니다.

그렇게 아일랜드 여왕은 죽고, 딸이 이어받았습니다.
딸은 내정을 다지기 위해 영주들을 달래며 천천히 나아가고 있었습니다.
아! 아들놈이 말을 안듣습니다. 엄마가 다 큰 뜻이 있어서 영지를 잠시 내놓으란 것인데, 그세 삐져서는 다시 호감도를 올려줘야 합니다.

잉글랜드까지 진출하는 길이 너무도 험난하고 멉니다. 스크롤을 돌려서 전체 지도를 바라봅니다.
제가 써내려가야 할 역사는 아직 멀고도 험한 것 같습니다.


왕이 되었습니다.
그러나 왕이라는 것이 어떠한 것인지 알 수 있습니다.
내 후계도 마음껏 정하지 못합니다. 봉신들은 능력도 없으면서 임명해달라 아우성입니다.
평민들의 능력치가 훨 좋은 경우가 허다합니다. 이제서야 세종대왕께서 왜 숱한 반대를 무릎쓰고 장영실을 데려왔는지 알 것 같습니다.
내가 아끼던 봉신이 죽었습니다. 그 아들놈이 이어받았는데, 아버지가 교육을 안한 것 같습니다. 감히 왕에게 이빨을 드러냅니다.
정말 노력해서 영지를 점령하더라도, 내 그릇이 부족하면 결국 누군가에게 맡겨야 합니다.
내 봉신들은 외세의 위험이 커저가고 있음에도, 자기들 밥그릇만 생각합니다. 봉신들 끼리 치고박고 싸우고 난리도 아닙니다.
이제서야 정치판이 보입니다. 잉글랜드 국왕이 침을 흘리고 있는 와중에도, 봉신들은 안목을 좁히고 있습니다. 그렇습니다. 중세시대, 아니 그 이전부터 제 밥그릇만 신경쓰이고, 바로 옆에 있는 남 밥그릇이 더 커보이는 법인 것 입니다.
영지민들의 문화와 종교를 개종하는 일은 쉽지가 않습니다. 엄청난 시간을 잡아먹습니다.
문화와 종교. 결국 힘으로 그들을 억누르더라도, 이 두가지를 모두 설득하지 못한다면 정복을 한 것이 아닙니다.
세삼스럽게 일제강점기를 버텨낸 조상님들이 대단하게 느껴집니다.
신앙심을 바치고 돈을 얻습니다. 그렇습니다. 신앙은 돈이 됩니다. 아, 교황이 십자군을 차출한다고 합니다. 저도 당연히 지원하려 합니다. 신앙심이 투철해서냐구요? 아닙니다. 직계 서열에서 한참 밀려나 있는 막내 아들놈에게 한자리 주려고 합니다.
십자군에서 얼마나 뛰어나게 활약했는지에 따라서 봉토를 하사해준다고 합니다. 봉토는 곧 돈이 됩니다.

저는 왕입니다. 그리고 곧 돈을 벌러 가야겠습니다. 얼마나 더 많은 시간이 흘러서 다시 올지는 모르겠습니다.
이 글을 작성할때는 약 37시간쯤이 지나있네요! 역사는 아직 많이 남아있습니다.
긴 이야기 들어주어 감사합니다. 다시 돌아와 당신을 만날 날을 기대하겠습니다."
