title,review_clear1
Homeworld Remastered Collection,"Posted: 27 February, 2015
리마스터링의 모범사례. 정말로 훌륭합니다.

홈월드의 놀라운 점은, 발매된 지 15년이 지난 지금 플레이를 해봐도 세련되었다는 느낌을 받을 수 있다는 점입니다. 홈월드 같은 게임은 사실상 홈월드 밖에 없으니까요. 이 게임을 통해서 얻을 수 있는 경험은 다른 게임을 함으로써 대체 가능한 것이 아닙니다. 클래식 홈월드를 해 본 경험이 있는 유저라면 간직해뒀던 추억이 예쁜 모양으로 되살아났다는 것에 기쁨을 느낄 수 있을 것이고, 홈월드를 리마스터판으로 처음 접하는 유저라면 이런 놀라운 게임이 무려 15년 전에 나왔다는 사실에 경악을 할 수 있을 겁니다.

다만 단점이 없는 것은 아닙니다. 캠페인 도중에 스크립트가 꼬여서 발생하는 다소간의 버그가 있고, 어쩌다 한 번씩 윈도우로 튕겨버리기도 합니다. 또한 홈월드 1 리마스터드는 2편 기반으로 재설계되다보니 여러 부분에서 개악된 점이 존재합니다. 홈월드 1편에서 사용했던 포메이션 기반의 전투나(데스볼 같은 진형) 전술기동 지정을 통한 효율적인 전투가 거의 불가능해졌습니다. 현재까지는 포메이션을 풀고 막싸움을 하는 쪽이 보다 시원시원하고 편리하다는 느낌이 드는데, 이 점은 못내 아쉽습니다. 그리고 무엇보다도 홈월드의 백미를 장식하던 엔딩 크레딧의 삽입곡, Yes의 'Homeworld'가 라이센스 문제로 인해 제거되었다는 사실은 무척 안타까운 부분입니다.

하지만 그럼에도 홈월드 리마스터드는 훌륭합니다. 왜냐고요?
이 게임은 홈월드라니까요."
Homeworld Remastered Collection,"Posted: 26 February, 2015
이게 바로 리마스터의 정석이다. HD 리메이크라면서 인물 텍스쳐만 조금 고치는 엠창 게임들과 클래스가 다르다. 원작의 모든 요소를 재구성하면서 그래픽은 '리마스터'라는 이름에 걸맞게 엄청난 퀄리티로 업그레이드 시켰다. 또한 가격이 착한점도 매우 마음에 든다."
Homeworld Remastered Collection,"Posted: 22 July, 2015
(딸칵) 마더쉽 (딸칵) 마더쉽
그래픽,음향,스토리 다 만족합니다! 그러니까 전투 순양함 대공포 좀 늘려줘요..힝..소형함이 뭐가 저리 쌔.."
Homeworld Remastered Collection,"Posted: 27 February, 2015
이건 리마스터가 아니라 리메이크 수준이다 원작보다 함선의 퀄리티 꽤 상향 되었고 홈월드 1 클래식에 있던 함선 대형들이 홈월드 2 리마스터드에 추가되었다 그리고 라이센스 때문에 엔딩 크레딧에 Yes의 'Homeworld'는 포함되지 않는것이 좀 아쉽다

점수 10/10"
Homeworld Remastered Collection,"Posted: 27 January, 2016
명작게임, 홈월드의 리마스터입니다. 개인적으로 최근에 나오는 리마스터 타이틀들 중에 가장 마음에 드네요.무늬만 리마스터 한것이 아니라 플레이 해보시면 알겠지만 그래픽만 리마스터한 것이 아니라 음악,성우까지도 과거에 성우(2편 카란 스젯 제외)들을 불러서 다시 녹음했더군요. 그리고 2편에 게임 인터페이스를 채택하고 있어서 더 쉽게 현황을 알수있고 창작마당에서 과거에 모드들도 다시 받으실 수있습니다.

하지만 콜렉션은 홈월드 1,2편을 포함하고 있지만 1편의 확장팩인 카타클리즘의 저작권의 얽혀있어 콜렉션에 포함되어 있지 않습니다. 그리고 2편에 인터페이스를 싫어하시는분들도 아마 계실꺼라고 생각됩니다.

만약 처음 이 게임을 하시는 분들이라면 3축을 이용해서 유닛을 움직이는데 약간을 생소할 수도 있습니다. 하지만 게임을 플레이 하시다보면 우주라는 공간에서 3축으로 유닛을 전략적으로 움직여야 하는 이유를 아마 아실겁니다. 괜찮은 전략시뮬레이션을 좋아하거나 우주에 관련된 게임을 찾으신다면 이 게임을 추천합니다. 개인적으로 감동적인 스토리를 보실꺼면 1편을, 웅장하고 멋진 우주선을 컨트롤 하실꺼면 2편을 추천합니다."
Homeworld Remastered Collection,"Posted: 1 March, 2015
옛날 즐기던 홈월드 느낌이 물씬 납니다. 마더쉽 UI 보는 것만으로도 기쁩니다.

그래픽은 굉장히 미려해서 전투가 더 보기 좋아졌습니다.

PDS같은 더 박진감 넘치게 해주는 모드들 리마스터판으로 나오면 더 잼날듯합니다.

다만 캠페인중에 버그가 은근 많네요. 이벤트 트리거가 꼬여 미션진행이 불가능해진다거나 기타등등....

메뉴로 나가서 다시 미션을 처음부터(영상부터) 재시작하면 트리거 돌아오는데 퀵세이브 퀵로드로는 해결이 안됩니다. 이게 아쉽네요."
Homeworld Remastered Collection,"Posted: December 8, 2021
[[ 가성비 ]]
■ 씹혜자
□ 혜자
□ 보통
□ 거품
□ 씹거품

[[ 그래픽 ]]
□ 황홀함
■ 멋있고 개성 있음
□ 개성 있음
□ 괜찮음
□ 못 봐줄 수준은 아님
□ 불편함
□ 눈을 가리고 싶어짐

[[ 사운드 ]]
□ 기저귀 갈아야 됨
■ 분위기에 잘 어울림
□ 알맞음
□ 괜찮음
□ 싫증남
□ 구림
□ 고막을 찢고 싶음

[[ 인터페이스 ]]
□ 게임이 나를 엄마보다 잘 챙겨줌
□ 유저 친화적
□ 크게 불편하지 않음
■ 약간 귀찮음
□ 비효율적이고 답답함
□ 플레이 자체가 노동

[[ 사양 ]]
□ 할머니댁 컴퓨터
■ 노트북
□ 보급형 컴퓨터
□ 적당한 컴퓨터
□ 고사양 컴퓨터
□ 초고사양 컴퓨터

[[ 한국어화 ]]
□ 번역이 원본을 뛰어넘음
□ 제대로 한국어화가 되어있음
□ 한국어화가 되어있는데 애매함
■ 유저 한국어화가 되어있음
□ 유저 한국어가 되어있는데 애매함
□ 비한국어화지만 지장 없음
□ 비한국어화로 플레이가 어려움

[[ DLC ]]
■ 없음
□ 캐릭터 꾸밈 컨텐츠나 가벼운 추가 컨텐츠(무기, 아이템, 추가 임무)를 구매할 수 있음
□ 확장판 수준의 컨텐츠 추가 DLC가 하나 혹은 몇 개 있음
□ 컨텐츠의 대부분을 DLC로 발매함
□ DLC를 구매하지 않으면 게임 플레이에 지장이 있음

[[ 모드 ]]
□ 모드가 이 게임의 핵심
■ 다양하고 종류가 많음
□ 비공식 추가 컨텐츠 모드들이 있음
□ 텍스처 개선 및 커스텀 스킨 등 가벼운 모드 위주
□ 모드 설치 불가능 / 모드 제작자 없음

[[ 난이도 ]]
□ 세 살 조카도 가능
□ 우리 엄마도 가능
□ 켠김에 왕까지 문제 없음
□ 난이도를 줄이는 방법이 있음
■ 적응되면 할 만함
□ 고인물 게임
□ 사람이 할 짓이 아님

[[ 스토리 ]]
□ 소름 돋음
□ 튼튼하고 독창적임
□ 튼튼함
■ 평범하지만 개성있음
□ 무난함
□ 무난하지만 엉성함
□ 부실함
□ 발로 썼냐
□ 뇌를 씻고 싶다

[[ 레벨 디자인 ]]
□ 레벨 디자인 교과서
□ 독보적임
■ 참신함
□ 평이함
□ 허술함
□ 부조리함
□ 한숨이 절로 나옴

[[ 플레이타임 ]]
□ 100시간 이상
□ 50시간 이상
□ 30시간 이상
■ 10시간 이상
□ 5시간 가량
□ 1시간 이하

[[ 버그 ]]
□ 발견하지 못함
■ 크게 신경 쓰이지 않음
□ 꽤 많음
□ 플레이 불가 수준
□ 게임 자체가 버그 덩어리

[[ 몰입도 ]]
□ 정신을 차리고 보니 다음날
□ 시간이 너무 잘 감
□ 빠져듬
■ 적당함
□ 집중이 안 됨
□ 합법 고문

[[ 중독성 ]]
□ 일상생활이 안 됨
□ 다른 일을 하다가도 생각이 남
■ 가끔씩 하고 싶음
□ 엔딩 본 이후로 안하게 됨
□ 이런 게임이 있었나..?

[[ 노가다 ]]
■ 필요 없음
□ 필요한 부분만 하면 됨
□ 노가다를 해야 해금되는 요소가 있음
□ 게임 내의 불편한 점을 해소하려면 노가다를 해야함
□ 노가다를 여러가지 해야 됨
□ 노가다를 하지 않으면 아예 진행이 안 됨

[[ 게임성 ]]
□ 완벽에 가까움
□ 정교함
□ 쫄깃함
■ 적절함
□ 부족함
□ 지루함
□ 게임이 아님
□ AVGN"
Homeworld Remastered Collection,"Posted: July 12, 2020
2020년 스팀 세일때 구매하여 클리어했습니다.
악명높은 난이도라던지 조작문제는 리마스터에서는 확실히 해결된 모양이네요. 큰 문제없이 캠페인 전부 클리어할수 있었습니다.

훌륭한게임입니다."
Homeworld Remastered Collection,"Posted: February 27, 2015
홈월드 광팬으로써 냉정하게 이번작은 실망입니다.
해상도가 올라갔으면 이에 맞게 인터페이스 작업을 다시 해야 함에도불구하고
단순하게 UI전체 크기를 1.2.3.4로 비례적으로 크기만 올리는 시스템으로 인해전체적으로 난잡해지며, 기존수준으로 낮추면 알아보기 힘들어 콘트롤이 힘들어져, 단축키를 전부 암기 플레이 하는방법뿐이 없습니다
또한 .기존의 ai의 한계를 그대로 가지고 있으며, 바보 같거나 아님 말도 안되는 물량 atm같이 쏟아지는 물량, 맵핵기본으로 재미를 반감시킵니다.
말그대로 그래픽 리마스터링뿐이라니 개발자의 멱살을 잡고 싶습니다.
또한 후의 카타에서 절정을 보였던 입체기동을 보기가 힘드며 이는 위의 함선 버그등의 중요 이유 길찾기aI의 개선 없기 때문입니다.간략히 표현하자면 스타 드라군 길 못찾듯이 , 스타1 SCV와 스타2 SCV의 이동을 생각해보시면 됩니다.이정도의 ai개선은 게임성을 위해 해야하지 않었나 하는데..
앞으로 모드개발자들이 분명 이를 개선시켜 추가또는 개발사의 추가 작업이 없으면 이 게임은 시간만 잡아먹는 게임이 될것입니다. 현재로써는 그래픽이 엄청나게 좋은것도 아니며 게임성도 떨어져 토탈어날레이션 스리즈나 COH2 같은 그들만의 게임이 될것같습니다.
VS CPU 모드 (멀티는 아직 공사중) 의 경우 게임 규칙 옵션을 이리 저리 만지면 로딩중 튕기는 현상을 발견하였으며 각 종족별 밸런스 조정없이 그냥 4가지 종족을 넣음로써 밸런스 최악의 게임으로 하면 할수록 발견하는 각종 버그들은 도대체...포럼의 모든 내용을 읽어보시면 위에 적어 놓은 의견들과 별반 다름이 없음을 알게 될것이며 그나마 전작의 팬들이 추천하고 있다는것만 알아주었으면 합니다.다른 별개의 패치로 이러한 버그 및 개선이 없다면 구입하지 않길 바랍니다."
Homeworld Remastered Collection,"Posted: March 20, 2015
ㅆ...유저 한글화 하게 툴이라도 보내달란말이야!

ㅆ...모드나 에디팅하게 툴좀 빨리빨리 내놓으란 말이야!

ㅆ...멀티할때 렉좀않걸리게 하란 말이야!"
