title,first_cleaned_reviews
Propnight,재미 재미 있다 다빈 다빈 다빈 다빈 남편 남편 새끼 듀오 듀오 킬러 킬러 생존자 생존자 로 브리핑 브리핑 하다 게임 함 얘 거르 거르 되다 듯
Propnight,존나 재밌다 재밌다 씹다 씹다 좆 같다 짱꺠 짱꺠 새끼 아니다
Propnight,일단 살인마 살인마 하다 핵 만나다 만나다 만나다 만나다 진짜 진짜 말문 말문 막히다 막히다 하다 싫어지다 싫어지다 무적 무적 핵 의심 의심 되다 있다 돈핵 돈핵 있다 생존자 생존자 하다 때 다른사람 다른사람 죽다 죽다 돈 줍다 줍다 원 먹다 먹다 돈핵 돈핵 있다 확정 확정 고요 고요 짱개 짱개 제발 제발 따로 따로 빼다 빼다 하다 좋다 좋다 핵 거 대처 대처 하다 유저 줄어들다 줄어들다 대처 대처 하다 겜 하다 씨발
Propnight,한국인 한국인 채팅 채팅 악질 악질 중국인 중국인 핵
Propnight,족 같다 짱 샛 덜 항상 항상 더럽다 더럽다 치졸하다 치졸하다 게임 욕 처 먹다 먹다 븅딱샛기덜 븅딱샛기덜 핵좀 핵좀 막다 막다 오버 오버 워치 워치 꼴 나다 나다
Propnight,짱깨 짱깨 핵 잡다 잡다
Propnight,제발 제발 다 좋다 좋다 핵 좀 잡다 잡다 영상 영상 녹화 녹화 하다 보 내주다 내주다 니 공식 공식 이메일 이메일 신다 신다 왜 영상 영상 찍다 찍다 신고 신고 핵 멀쩡하다 멀쩡하다 게임 있다 일 좀 해 이 망 하다 놈 들다 들다 업데이트 업데이트 이후 추가 추가 리뷰 리뷰 독단 독단 검다 검다 그렇다 하다 넘어가다 넘어가다 망치다 망치다 선 넘다 넘다 이 놈 살인마 살인마 따돌리다 따돌리다 발전기 발전기 다시 잡다 잡다 진행 도 바닥 바닥 있다 어쩌 어쩌 자다 자다 일 제대로 하다 패치 이후 작성 작성 드디어 드디어 이 미치다 개발 개발 진 게임 디지털 디지털 쓰레기 쓰레기 만들다 만들다 버리다 버리다 대체 대체 승리 승리 보상 보상 코인 코인 없애다 없애다 버리다 버리다 누구 대가리 나오다 나오다 아이디어 아이디어 참으로 참으로 궁금하다 궁금하다 제대로 되다 사고방식 사고방식 가능하다 가능하다 인간 인간 디자인 디자인 담당 담당 하다 않다 분명하다 분명하다 이 게임 구매 하다 분 차라리 그 돈 길 바닥 바닥 버리다 버리다 더 유용하다 유용하다 용법 용법 일 듯 하다
Propnight,모니터 모니터 쓰시 쓰시 필독 필독 윈도우 윈도우 키 키 누르다 누르다 창 뜨다 뜨다 들어가다 들어가다 순서 순서 폴더 폴더 들어가다 들어가다 파일 노트패드 노트패드 나 메모장 메모장 열다 열다 영어 영어 어쩌구저쩌구 어쩌구저쩌구 써다 써다 무시 무시 맨 밑 위 거 그대로 복 붙다 붙다 해주다 해주다 다음 여기 자기 모니터 모니터 율 맞다 맞다 설정 설정 혹은 이겠다 이겠다 저장 저장 하다 파일 우 클릭 클릭 속성 속성 읽다 읽다 체크 체크 하다 되다 추가 추가 제어판 제어판 설정 설정 관리 관리 들어가다 들어가다 프롭 프롭 나이트 나이트 항목 항목 추가 추가 하다 다음 설정 설정 란 수직 수직 동기 동기 끌다 끌다 최대 최대 프레임 프레임 속도 속도 자기 모니터 모니터 맞다 맞다 주사 주사 율 설정 설정 해주다 해주다
Propnight,
Propnight,진짜 진짜 이번 패치 보고 젠 관심 관심 끄다 끄다 게 답 생각 함 대체 대체 개발 개발 진 살인마 살인마 생존자 생존자 양쪽 양쪽 플레이 해보다 해보다 패치 하다 건지다 건지다 의문 의문 들다 들다 패치 전 플레이 하다 처음 처음 생존자 생존자 시작 시작 하다 중간 중간 갈아타다 갈아타다 이 게임 접기 접기 전 살인마 살인마 하다 근데 근데 전 살인마 살인마 불리하다 불리하다 건 사실 임 그래도 지금 보다 차라리 그때 훨씬 나다 나다 보임 보임 일단 생존자 생존자 인성 인성 지다 지다 건 플레이어 플레이어 간의 간의 문제 문제 둘째 둘째 치다 치다 지속 지속 되다 친 생존자 생존자 패치 가장 크다 크다 문제 문제 봄 실력 실력 경기 경기 살인마 살인마 절대 절대 이기다 이기다 구조 구조 다른 유사 유사 게임 데바 데바 데 인 사일런트 사일런트 같다 술래잡기 술래잡기 게임 비교 비교 해보다 해보다 일단 생존자 생존자 갖다 갖다 있다 견제 견제 수단 수단 압도 압도 그 비다 비다 살인마 살인마 스펙 스펙 더 좋다 좋다 것 아니다 개발 개발 진 당장 대비 대비 생존자 생존자 살인마 살인마 승률 승률 확인 확인 하다 하다 아마도 아마도 개발 개발 진 이 게임 공포 공포 게임 것 잊다 잊다 것 같다 애초 애초 생존자 생존자 아무렇다 아무렇다 아이템 아이템 없이 없이 추격 추격 있다 살인마 살인마 점프 점프 하다 스턴 스턴 먹이다 먹이다 수 있다 것 생존자 생존자 우세하다 우세하다 수 있다 이유 이유 물론 이 점 이 게임 특징 특징 술래잡기 술래잡기 게임 특성 특성 그 충분하다 충분하다 리스크 리스크 따르다 따르다 야하다 야하다 저체온증 저체온증 장비 장비 만들다 만들다 게 아니다 그만큼 그만큼 위험하다 위험하다 만들다 만들다 게 맞다 맞다 보다 심지어 공격 공격 당하다 당하다 생존자 생존자 스 테미 테미 나다 나다 얻다 얻다 이번 패치 기본 기본 이속 이속 빨르다 빨르다 그렇다 대다 대다 비 대칭 대칭 게임 생존자 생존자 스펙 스펙 살인마 살인마 낫다 뭘 추격 추격 하란 하란 얘 기다 기다 시스템 왜 만 이해 이해 가지 가지 않다 이 점 넘다 넘다 차이나다 차이나다 매칭 매칭 되다 걸 어떻다 어떻다 이기 이기 건지다 건지다 모르다 모르다 어차피 어차피 실력 실력 별 매칭 매칭 안되다 마당 마당 떨어지다 떨어지다 거 보고 있다 스트레스 스트레스 받다 받다 어차피 어차피 매칭 매칭 관계 관계 없다 그냥 삭제 삭제 지금 밸런싱 밸런싱 유저 확보 확보 몰두하다 몰두하다 하다 게 아니다 싶다 싶다 내 이 게임 접다 접다 이유 이유 지속 지속 친 생존자 생존자 몰다 몰다 주기 주기 패치 다른 유사 유사 장르 장르 게임 비교 비교 되다 밸런싱 밸런싱 오히려 악 영향 영향 주다 주다 시스템 물론 나 티어 티어 유저 아니다 티어 티어 유저 입장 입장 의견 의견 다르다 다르다 수 있다 이 게임 티어 티어 하다 게 아니다 점 개발 개발 진 알아주다 알아주다 좋다 좋다
