title,first_cleaned_reviews
Monster Boy and the Cursed Kingdom,원더보이 몬스터 랜드 과거 오락실 많이 해보다 해보다 리부트 난이도 올라가다 재미있다 즐기다
Monster Boy and the Cursed Kingdom,어리다 오락실 해봤다 원더보이 멋지다 재탄생 되어다 기쁘다 난이도 컨트롤 익숙해지다 편하다 지다 퍼즐 요소 숨기다 요소 일부 찾기 쉬다 모르다 숨기다 공략 찾기 어렵다 암튼 타임 적당하다 굉장하다 잘만 추천
Monster Boy and the Cursed Kingdom,귀엽다 그림 독특하다 캐릭터 성의 가볍다 마음 가볍다 좋다 특히 마지막 보스 전이 쉽다 결말 엔딩 편하다 힐링 찾다 싶다 몬스터 보이 저주받다 왕국 추천 드리다 컨텐츠 많다 모험 기분 들다 좋다 가끔 나오다 스피드 꿀잼
Monster Boy and the Cursed Kingdom,명작 초딩 애니 오프닝 거부 들다 많다 전체 짜임새 훌륭하다 개인 후반 부로 갈수록 여러 요소 추가 방식 다양해지다 재미있다 단점 타격 판정 구림 전투 퍼즐 요소 강조 감안 만하 사이드 크롤 좋아하다 불다 강렼 추천
Monster Boy and the Cursed Kingdom,볼륨 지리다 엔딩 걸리다 숨기다 많다 숨기다 찾다 힌트 많이 제공 특히 찾다 비밀 위치 특정하다 좋다
Monster Boy and the Cursed Kingdom,자다 만들다 한글화 상당하다 자연스럽다 자체 난이도 어렵다 음악 그래픽 훌륭하다 후회 이러하다 장르 시리즈 많이 발매 좋다 추가 내용 모르다 대부분 전작 사용 어디서 많이 들다 마을 성당 스테인드 글라스 역대 사들이다
Monster Boy and the Cursed Kingdom,원더보이 몬스터 랜드 리부트 상당하다 재미있다 원작 재미있다 해보다 기억 아깝다 원작 다르다 시대 흐름 난이도 상당하다 올라가다 편입 특히 보스 전이 어렵다 다행하다 죽다 부활 그나마 다행 한가지 아쉽다 라면 내놓다 업적 빈약하다 정도 업적 아이콘 성의 업적 다양하다 굉장하다 재미있다 엔딩 달리다
Monster Boy and the Cursed Kingdom,그래픽 깔끔하다 재미 쓰다 엘리트 패드 구리다 느끼다 찾다 빡치다 남녀 노소 어린이 좋아하다 한국 절대 나오다 적극 추천
Monster Boy and the Cursed Kingdom,개인 재다 오리 멀다 할로우 나이트 메신저 더불다 이름 나란하다 정도 수작 플랫포머 유일하다 단점 중반 난이도 수직 상승 달다 어렵다 퍼즐 기본 피지 요구 환장하다 들다 그거 장점 하자
Monster Boy and the Cursed Kingdom,지름 도전 과제 달성 아이템 수집 초딩 원더보이 몬스터 월드 떠오르다 마침 대부분 리메이크 가져오다 브금 더욱 떠오르다 만들다 버리다 메트로 바니 형식 내놓다 부분 취향 재밌다 숨기다 몇몇 퍼즐 솔직하다 넘다 빼다 전체 만족 만족
