title,first_cleaned_reviews
Hollow Knight,최근 장르 오리 멀다 데드 슬레 프롬 묻다 따다 줄줄이 구입 만들다 제공 작품 정식 발매 험블 먼슬리 통해 데모 버전 제공 돼다 기대 없이 해봤다 괜찮다 들어서다 결정 데모 버전 즐기다 매트 베다 시작 이자 끝판 월화 야상곡 이하 비다 모로 부족하다 류작 정도 느껴지다 정식 가량 거치다 달성 찍다 나니 도대체 정도 자다 만들어지다 헐값 발매 돼다 의문 들다 흠잡다 성과 높다 완성 풍부하다 볼륨 훌륭하다 액션 재미 이미 지난 이기다 해보다 수가 전설 돼다 버리다 걸작 충분하다 견줄 개인 취향 전설 뛰어넘다 수도 역대 매트 베다 등장 미지 장소 탐험 지도 밝히다 과정 얻다 특수하다 동기 열쇠 아이템 초반 갈다 장소 해금 탐험 지역 넓히다 나가다 방식 가지 올라가다 따르다 자연스레 발생 이벤트 통해 스토리 텔링 해주다 꾸역꾸역 지도 펼치다 나가다 엔딩 지역 개성 몬스터 다양하다 보스 기본 스토리 엔딩 무관 갖가지 서브 퀘스트 숨기다 요소 게임상 등장 몬스터 여러 페이즈 걸치다 상대 최종 승리 보상 받다 콜로세움 즐기다 거리 준비 돼다 이쯤 이면 전체 형식 가지 굳이 차이점 레벨 테이블 아이템 파밍 부재 달라지다 지도 들다 아이템 파밍 통해 수많다 무기 사용 다르다 엔딩 무기 쓸다 천적 레벨 캐릭터 성장 초반 비다 많이 모자라다 느낌 들다 따르다 단점 확실하다 대체 요소 게임상 구현 돼다 모습 강화 획득 무기 업그레이드 제한 여러 조합 가능하다 부적 통해 기본 무기 사거리 높이 보조 공격 수단 추가 가능하다 라면 발만웨 사기 막장 무기 기억 부적 조합 통해 기본 무기 발만웨 유사하다 무기 탈바꿈 수도 조합 패널 확실하다 따라오다 밸런스 무기 종류 불과하다 비교 정도 스피디 액션 동기 차지 어택 컴비 네이션 가능하다 뛰어나다 다양하다 액션 맛보다 레벨 대신 통과 소울 마나 늘리다 수집 아이템 곳곳 뿌리다 놓다 단순하다 몬스터 반복 잡고 쉬다 캐릭터 성장 낮다 난이도 쉬다 가능하다 만들다 비다 수월하다 구석구석 탐사 동기 부여 마음 들다 이렇다 기다 벤치마킹 쉬다 좋다 차용 버리다 버리다 와중 본인 색깔 내기 부단하다 노력 흔적 곳곳 느껴지다 지도 하의 자동 지도 덤비다 높다 확률 낭패 정도 찾기 난이도 높다 공략 없이 초회 계획 라면 완성 돼다 전체 지도 수시로 캡처 그림판 사용 캡처 지도 지나가다 장소 이유 지나가다 꼼꼼하다 기록 권장 자동 지도 쉬다 안일하다 초반 달리다 순간 이건 싶다 방법 지도 체크 타임 길어지다 장담 스퀘어 형식 지도 그려지다 지나가다 통로 완전하다 보여주다 몇몇 트이다 장소 실제 탐사 지도 그려지다 경우 생기다 찾다 하염없이 헤매다 공산 크다 공략 클리어 아무래도 상관없다 죽다 깨다 속이다 시원하다 라면 무조건 지도 그리다 하자 본인 하루 걸치다 기간 자체 길어지다 지도 체크 불구 몇몇 구간 먹다 한지 달이 지난 생각나다 끄적 느끼다 장점 특이하다 세부 많이 빼먹다 아쉬움 남지 재주 이쯤 줄이다 아무튼 구성 이면 혜자 혜자 확실하다 여름 무조건 추천 무료 추가 계획 하니 고민 필요 없이 장바구니 담다 하자 보너스 할로우 나이트 장르 함량 미달 제외 괜찮다 녀석 간단 비교 남기다 지극히 개인 기준 작성 가볍다 읽다 넘어가다 괜찮다 오리 멀다 드세다 슬레 프롬 할로우 나이트 오리 아름답다 뛰어나다 애니메이션 바탕 완벽하다 환경 구축 필셀 기반 그래픽 선호 드세다 수준 슬레 나머지 비다 많이 박하다 거치다 취향 눈뽕 맞다 수도 사운드 트랙 따로 판매 완성 나쁘다 할로우 나이트 오리 내내 귀가 즐겁다 드세다 좋다 나쁘다 배경음 슬레 대놓고 헤비메탈 아케이드 표방 취향 맞다 수도 스테이지 클리어 주인공 자동 헤드뱅잉 정확하다 컴비 네이션 활용 뛰어나다 액션셩 할로우 나이트 드세다 압승 모션 다양하다 할로우 나이트 점수 오리 괜찮다 기다 모자라다 액션셩 떨어지다 슬레 플레이어 원하다 조작 바로바로 나오다 조작 감다 괜찮다 모션 많이 부족함 찾기 함정 돌파 보스 모든 할로우 나이트 압승 슬레 괴랄 스테이지 구성 보여주다 스테이지 길이 짧다 찾기 요소 중간 중간 체크 포인트 많다 구간 패턴 외우다 클리어 크게 어렵다 오리 점프 액션 익숙해지다 무리 드세다 로그라이크 형식 초반 난이도 상대 높다 포션 개수 업그레이드 아이템 파밍 정도 타임 경계 난이도 급락 어지간하다 아이템 뜨다 조작 크다 미스 내다 경우 보스 클리어 확정 가깝다 이뤄지다 쫄보 확정 가깝다 람보 메타 달리 확정 데스 맛보다 가능성 높다
Hollow Knight,이건 문제 자다 만들다 높아지다 할로우 나이트 비교 해보다 메트로 베다 취향 성급하다 말다 이건 취향 박살 정도 자다 만들다 재밌다
Hollow Knight,벌레 소울 디자인 컨텐츠 시작 시종일관 풍요 구성 강제 거나 알다 달성 만들다 목표 지형 기록 지도 모으다 오브젝트 표시 마커 모으다 수단 사슴벌레 정거장 열기 돌아다니다 진입 이동 기술 얻다 나서다 가보다 전투 도와주다 부적 모으다 보스 깨다 완성 남다 오늘 거도 거도 끊임없다 메트로 니아 탐험 수집 컨텐츠 힘쓰다 자연 동화 세계 탐험 캐릭터 들다 세계 지난날 추측 파고들다 시작 여정 따라가다 왕국 닥치다 비극 인물 상황 추측 인물 마지막 여정 비극 더욱 심화 수집 요소 모으다 못질 어느새다 여정 주인공 둥지 세계 바라보다 성의 극화 도와주다 떨리다 판정 보스 소울 불리 라서 속도 전투 가능하다 깔끔하다 그래픽 디자인 덕분 직관 패턴 파악 피지 허다 스레 피해 딜넣어 이론 완벽 성취 말다 패턴 직관 피격 판정 피하 려면 계속 집중 화살표 구성 간단하다 조작 이용 스타 일리 쉬다 대쉬 패턴 회피 들다 점프 하단 공격 늘리다 보스 돌진 기르다 넘기다 들다 공격 사체 제거 들다 훌륭하다 전투 매커니즘 요것 자다 활용 설계 보스 패턴 맞다 물리다 죽다 죽다 죽다 죽다 재밌다 분명하다 번은 피하 딜넣는 성공하다 실수 잡다 템포 빠르다 시작 울다 더블 뛰다 장점 혜자 정가 만육천원 기대하다 퀄리티 이미 뛰어넘다 다가 따다 만원 받다 먹다 추가 요소 무려 공짜 뿌리다 그림 극단 재밌다 보스 전이 포함 콘텐츠 공짜 뿌리다 장점 열거 수도 없이 많다 분위기 좋다 사려 켜다 대기 중이 어디서 색감 섬세하다 디자인 결과 감탄 위험하다 오브젝트 밝다 주황색 두다 배경 보색 보라 파랑 초록 잡다 대비 강조 공식 한글화 되어다 하루 건드리다 시작 어느새다 나다 모르다 일당 넘다 달라붙다 아직 최종 컨텐츠 깨다 컨텐츠 남다 솔직하다 하드코어 보스 러쉬 만신전 이쯤 만족 클리어 치다 즐겁다 포만 끝내주다 재밌다 훌륭하다 경험 주다 고맙다 체리 완료
Hollow Knight,매트 베다 정석 남녀 노소 좋아하다 아름답다 그래픽 세다 짜이다 세계관 스토리 모든 받치다 좋다 음악 액션 빠지다 없이 녹이다 내다 어렵다 난이도 길찾기 살짝 매다 느껴지다 기다 많다 요소 완벽 가깝다 맵다 중화 밸런스 갖추다
Hollow Knight,모르다 잊혀지다 교차로 처음 들어가다 순간 느끼다 두려움 호기심 맛보다 싶다
Hollow Knight,절대 뜨다 먹여주다 알다 주다 스킬 사용 누르다 알다 전혀 알다 난이도 쉽다 그건 속셈 거나 주기 위함 인물 쉬다 그건 계략 내내 영혼 채우다 석상 찾다 때리다 해달라다 외치다 간절하다 지도 장수 오다 사슴벌레 정거장 찾다 귀지 맞다 닳다 컨트롤 필요 점프 맘대로 추락 가시 찔리다 죽다 스트레스 풀다 스트레스 받다 재밌다 해내다 성취 막히다 한가지 초반 드리다 코니퍼 지도 장수 만나다 지도 마을 나침반 깃털 초반 모으다 사다 알다 알다
Hollow Knight,거짓 기사 쩔쩔매다 잊혀지다 내리다 눈물 도시 전율 잊혀지다 시체 복수 공포 잊혀지다 퀴렐 무우 잡다 우정 잊혀지다 고통 공허 기사 슬픔 잊혀지다 광휘 위엄 잊혀지다 처음 돌아가다 기분 느끼다 싶다
Hollow Knight,워낙 평이 좋다 기간 사보다 그다지 길다 체적 주변 반응 느끼다 위주 장단점 써다 고합 개인 주관 이기 참고 해주시 감사하다 장점 음악 몽환 아름답다 최대 장점 감탄 많이 탐험 재미 쏠쏠하다 넘어가다 두근거리다 예쁘다 몽환 분위기 잔혹 동화 분위기 좋아하다 좋아하다 드네 분위기 좋아하다 처음 사다 돼다 한글화 되어다 들다 캐릭터 전체 매력 몬스터 귀엽다 설명 벌레 나오다 거부 들다 귀엽다 표현 되어다 경우 많다 일부 징그럽다 보스 패턴 굉장하다 공략 재미 주요 보스 중간 중간 서브 보스 패턴 다르다 몬스터 특징 죽이다 고민 되게 재밌다 전투 방식 다양성 좋다 갈수록 전투 스킬 추가 전투 머릿속 구상 보스 써다 먹다 하니 재밌다 단점 컨트롤 신분 길가 가능성 높다 나다니다 난이도 되게 높다 느낌 우기다 우기다 멀리 오다 처음 오다 잃다 경우 많다 새롭다 기술 배우다 안전하다 연습 곳도 죽다 잃다 익숙해지다 부분 되게 스트레스 개인 크다 허들 그거 몇번 죽다 엔딩 많이 들다 개인 뽑다 최고 단점 정도 가이드라인 필요하다 답답하다 스토리 스토리 정보 주어지다 탐험 추측 지나가다 스토리 건지다 빠뜨리다 온건 전혀 모르다 가이드라인 작법 모르다 분홍 버섯 점프 방법 누르다 공격 미지 탐험 좋다 이만 메인 퀘스트 땅땅 이대로 위주 많이 해오다 위주 많이 많이 답답하다 오픈월드 느낌 퀘스트 돌아다니다 보스 나오다 보스 막히다 찾아보다 흘러가다 스토리 보스 어렵다 괜찮다 보스 가다가 죽다 길가 죽다 나다 가시 끓다 다치다 죽다 반복 스트레스 다가오다 주변 체적 자체 재밌다 길가 자꾸 죽다 짜증나다 결론 주관 판단 추천 해드리다 퀘스트 없이 탐험 돌아다니다 좋다 몽환 분위기 연출 좋아하다 캐릭터 매력 애정 생기다 전투 스타일 단조롭다 지루하다 컨트롤 정도 요구 들다 비추다 길가 죽다 굉장하다 스트레스 받다 정도 가이드라인 답답하다 컨트롤 요구 없이 스토리 즐기다 죽다 패널 크게 작동 싫다 수중 전체 없어지다 없어지다 죽다 장소 가다 회수 가다가 죽다 아예 없어지다 잃다 좋아하다 복잡하다 처음 받다 지도 미완성 지도 헤메 지다 모르다 헤메 덥다 분명 가다 입구 지도 따르다 두다 길이 막히다 상황 발생 얻다 스킬 진득 연습 는걸 좋아하다 번은 스킬 얻다 써다 편하다 연습 공간 얘기 연습 없이 실전 들어가다 죽다 오다 달다 스트레스 이신 힘들다 재밌다 힘드다 컨트롤 좋다 컨트롤 안좋다 스트레스 받다 엔딩 잡고 찍다 싶다 좋다 만들다 감사하다
Hollow Knight,오리 멀다 해보다 금방 적응하다 오리가 신라면 수준 라면 할로우 나이트 불닭볶음면 캡사이신 바퀴 휘두르다 청양고추 썰다 넣다 느끼다 보스 계속 죽다 모으다 날아가다 보스 모습 목격 순간 소리 절로 나오다 참고 나오다 소리 닿다 지도 어딨다 나침반 애매하다 공간 차지 보스 갈다 끼다 보스 겁나다 멀다 오늘 손대다 인간 왈왈
Hollow Knight,실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크 실크
