title,first_cleaned_reviews
Ravenfield,레이븐 필드 오신 환영 오픈월드 위트 전장 인공 지능 즐기다 읽다 시작 크다 도움 작전 인공 지능 사용 가능하다 무기 제한 상황 레이븐 우월 차지 차근차근 나가다 야간 또는 탈것 넓다 뛰어다니다 수도 아군 스킨 적용 팀킬 구실 만들다 수도 무기 장비 독립 사용 만들다 갈다 입맛 바꾸다 바라다 추가 스킨 추가 되어다 포함 다양하다 스킨 마음 들다 적용 천명 인공 지능 추가 무제한 상관 생존 상관 수도 특이하다 아군 누르다 부하 등용 앉다 똑같이 앉다 뛰다 똑같이 뛰다 기도 시점 발밑 누르다 누르다 이란 뜨다 누르다 아군 무조건 따라오다 왼쪽 하단 부하 상태 표시 상태 가지 나뉘어지다 대기 이동 따라가다 나누다 지다 업데이트 야간 투시 경과 분대 명령 구지 착용 쓸다 인공 지능 난이도 나누다 지다 플레이어 느낌 느끼다 그만큼 정확도 크다 깨다 어리다 난이도 직접 설정 들어가다 확인 시작 가지 들어가다 관중 나눠지다 빨갛다 병사 파란 병사 구성 되어다 모델 장비 도구 사용 탑승 중립 여겨지다 관전 자유 시점 병사 마우스 왼쪽 또는 오른쪽 누르다 시점 셀프 카메라 마냥 고정 가능하다 모드 무려 나눠지다 모드 설명 해보다 본부 직접 아군 무기 제한 풀다 직접 지시 기르다 싸우다 귀찮다 자동 전투 이용 기다 전투 결과 점령 포인트 쌓이다 연구소 직접 무기 장비 처음 트레일러 나오다 조언 드디어 나오다 점수 먼저 올리다 작시 상단 점수 점령 깃발 올라가다 배수 깃발 지점 많이 차지 수록 처치 점수 증가 그만큼 승산 크다 작시 상단 표시 주어지다 상단 자꾸 깎다 나가다 모습 보이다 깎다 질시 레이븐 이글 아군 수가 적어지다 되어다 불리하다 유리하다 상황 한쪽 대대 잃다 경기 아직 남다 승리 진팀 소환 시작 아군 지휘 반대 적군 소대 정도 병사 데리 물량군 무너 뜨다 골치 아프다 할로윈 기념 모드 작시 두운 배경 뜨다 권총 자루 야간 시경 렌치 탄약 상자 배급 기본 명의 부하 인용 차량 타고 시작 차량 인원 설정 가능하다 지역 도착 다가오다 웨이브 대비 그리다 해골 소환 되어다 공격 과정 탈시 체력 깎다 상단 일정 채우다 남다 해골 죽다 참고 들다 해골 먼저 죽이다 바라다 많아지다 수록 골치 파지다 종종 마녀 허수아비 기다리다 랜덤 이벤트 나오다 해골 탄약 체력 참고 무기 보라색 노멀 구역 에세 랜덤 획득 가능하다 특정 구간 구간 점령 또는 저지 상단 포인트 꽉차다 상대 부대 잃다 적다 수로 싸우다 나가다 모드 점령 포인트 차기 시작 차지 적도 점령 포인트 쌓이다 시작 간략하다 얘기 드리다 전투 버전 소규모 전이 해석 제한 인원 싸우다 야하다 죽다 랜덤 아군 조종 싸우다 아군 또는 상대 불리하다 비행기 아군 부대 낙하산 타고 죽다 비행기 소환 길이 조절 따르다 아군 지원 수가 달라지다 업데이트 목록 업데이트 확인 낙하산 크다 스텀 점령 무기 커스터 마이 지나다 개발자 꾸준하다 피드백 받아들이다 업데이트 마침내 뉴스 업데이트 나오다 모습 뿌듯하다
Ravenfield,이나 끄다 이렇다 진정하다
Ravenfield,훗날 멀티 생기다
Ravenfield,나름 쏘다 괜찮다 멀티 나오다 좋아지다 추천
Ravenfield,국산 는걸 추천
Ravenfield,걸이 포기 총기 실감 미국 가다 쏘다 의미 미국 놀다 가다 본론 초반 베타 시리즈 나오다 무려 플레이어 반응 좋다 그린 라이트 당당하다 투표 통과 놀랍다 무려 개발 탄도 물리학 적용 되어다 그래픽 액션 싸우다 이기다 기원
Ravenfield,배틀필드 인물 죽다 무섭다 꺼리다 바닐라 질리 신다 창작 마당 수많다 모드 기다리다 멀티플레이 제작 모드 존재 무한 잠재력 지니다 싱글 배틀필드 성실하다 계속 새롭다 컨텐츠 꾸준하다 추가 지르다
Ravenfield,보급 배틀필드 가다 배틀필드 희다 대의 싸다 끼다 마당 이건 배틀필드 주요 컨텐츠 현재 가지 크게 나누다 개발자 직접 만들다 무기 만들다 무기 여러 스킨 퀄리티 높다 기초 탄탄하다 느껴지다 가다 가다 야하다 요소 충분하다 가지 밀덕 이면 거품 쓰러지다 탄도 정도 구현 되어다 개발자 틈틈하다 업데이트 해주 가끔 킬링타임 제격 싶다 무려 개발 프로그래머 장래희망 직업 나로 써다 존경 수가 개발 만들다 모드 한술 뜨다 재미있다 만들다 특히 일부 크다 스텀 장비 무기 스킨 구현 퀄리티 극한 끌다 모으다 만들다 개인 대전 다운 받다 나누다 대전 시뮬마 놀다 재밌다 여러 싸다 끼다 퀄리티 폐기물 정성 만들다
Ravenfield,늘다 말다
Ravenfield,멀티
