title,first_cleaned_reviews
In Silence,방식 오다 일치 레이크 몬스터 늘다 가다 레이크 시야 가시 제한 되어다 상태 스킬 쓰다 경우 자다 알아채다 움직이다 오브젝트 헷갈리다 소음 경우 중앙 센서 빨갛다 느낌표 표시 되어다 생존자 추적 전멸 가다 탈출 막다 생존자 게이트 오픈 차량 수리 탈출 무기고 열다 괴물 죽이다 방법 게이트 오픈 경우 데바 차로 도망치다 나무 부서지다 방식 차량 수리 바퀴 연료 엔진 퍼지다 요소 모으다 수리 탈출 무기고 곳곳 건물 모양 따르다 숫자 적히다 그걸 무기고 찾다 자물쇠 괴물 죽이다 무기 얻다 아직 따끈따끈하다 얼리다 신작 외국 알려지다 상태 이기다 상기 모든 요소 랜덤 스폰 되어다 위치 외우다 불가능하다 개발자 열정 피드백 바로바로 수렴 수정 공식 디코 한국어 채널 만들다 달라 만들다 단점 아직 얼리다 크래쉬 일어나고 상태 얼리다 정도 감안 가능하다 수준 아직 한국 많이 조작 감다 즉흥 무겁다 경향 몰입도 주다 되어다 단점 크다 단점 트레일러 한글 정작 한글화 공식 디코 꾸준하다 건의 부분 개발자 들다 여러 수정 빠르다 한글화 추가 받다 얼리다 기준 달러 본인 일본 거주 정도 혜자 보이스 활성화 되어다 서버 아시아 통합 일본 한국 서버 따로 존재 데바 가능하다 데바 데바 달리 전원 인칭 다르다 쫄깃 몰입 선사 금은 개발자 개발 포기 상태 나오다 얼리다 저렴하다 문제 많다 잠재 강하다 아직 뉴비 친추 걸다 바라다 강력 추천
In Silence,한국어 트레일러 한글화 김치 받다 싶다 한글화
In Silence,남우 괴물 한판 노잼 외치
In Silence,인물 외국 자료 번역 만들다 패치 따르다 조금씩 달라지다 이동속도 증가 소음 줄어듬 빨리 달리다 조용하다 달리다 레이크 잡히다 쓸다 빨리 덥다 달리다 시작 들다 시작 멀리 던지다 수리 속도 빨르다 탈출 구가 열리다 달리기 속도 빨르다 자동차 탈출 부서지다 탈출 레이크 플래시 썻을때 효과 오래 플래시 사용 게이지 소비 많다 플래시 게이지 저장 손전등 게이지 저장 오역 작시 허수아비 아이템 들다 시작 데미지 증가 확률 치명 데미지 주다 작시 총알 가지 시작 총알 정확하다 모르다 작시 곰덫 가지 시작 즐겜띠
In Silence,컨셉 자체 나쁘다 아직 갈다 길이 멀다 소리 내면 쫓아오다 괴물 컨셉 긴장 공포 유발 좋다 수단 무섭다 기다 커녕 지루하다 인간 무조건 무음 강요 뛰다 플래시 먹이다 직후 사용 괴물 보이스 듣다 추격 해오다 소리 지르다 대화 일체 제한 전반 행동 걷다 기물 보이 파밍 브금 나오다 내내 굉장하다 지루하다 느껴지다 괴물 점프 스케 요소 무섭다 놀람 공포 감각 괴물 괜찮다 괴물 시야 안경 벗다 초고 근시 코앞 자다 보이다 힌트 나오다 가다 모르다 달려가다 계속 멀미 멀미 나다 결론 인간 괴물 답답하다 죽다 여러가지 개선 필요하다 아직 한국 외국 필수
In Silence,금요일 짬뽕 나름 재미 아직 반도 따르다 갈다 정도 여러가지 퀄리티 조잡하다 한국 수가 아직 적다 한국 서버 원하다 힘들다 아쉽다 시야 워낙 좁다 취향 따르다 답답하다 느껴지다 일자 가지 부분 개선 패치 되어다 내용 부분 크리 치다 생존자 나누다 최대 크리 치다 시야 생존자 비다 극한 좋아지다 시야 생존자 추격 불가능하다 생존자 행동 달리기 마이크 소리 또는 설치 되어다 트랩 발동 인하다 발생 소음 통해 추격 생존자 죽이다 탈출 방해 반대 생존자 시작 랜덤 능력 가지 시작 크리 치다 넓다 시야 이용 트랩 피하 면서 크리 치다 혼란 주다 탈출 필요하다 아이템 단서 파밍 탈출 방법 차량 부품 찾다 차량 시동 탈출 거나 숨기다 비밀번호 보통 건물 랜덤 쓰이다 찾다 무기고 열다 꺼내다 크리 치다 사냥 사냥 경우 맞추다 크리 치다 사망 단순하다 차량 탈출 난이도 무기고 비밀번호 틀리다 순간 고음 들다 괴물 위치 발각 틀리다 걸리다 버리다 신중하다 입력 생존자 크리 치다 붙잡히다 플래시 발동 괴물 탈출 기본 사용 가능하다 사용 건물 서랍 플래시 배터리 파밍 게이지 채우다 넣다 사용 크리 치다 붙잡히다 사망 경우 지도 보이 생존자 소리 채팅 생존자 플레이어 유리하다 단서 바디랭귀지 제공 또는 소리 내다 크리 치다 방해 가능하다 간혹 번개 소나기 오다 이벤트 발생 모든 소음 천둥소리 묻히다 크리 치다 소음 신호 가지 대신 크리 치다 시야 범위 넓어지다 수리 탈출 외곽 랜덤 외곽 돌다 찾다 경우 외곽 달다 주변 랜덤 위주 수색 찾다 수월하다 기본 수리 타이어 기름 배터리 자동 차키 필요하다 이중 자동 차키 경우 보통 건물 서랍 랜덤 숨기다 부품 채우다 수리 성공하다 경우 모든 플레이어 들다 메시지 알림 가다 플레이어 탑승 플레이어 기다리다 또는 먼저 출발 탈출 개집 건물 랜덤 개집 건물 풀다 경우 차갑다 위치 달려가다 위치 알다 줍다 무기고 마찬가지 외곽 랜덤 돌다 찾다 건물 랜덤 형성 되어다 비밀번호 찾다 입력 열다 고음 소총 기다 슈트 드랍되 크리 치다 체력 보이다 시작 등대 빨간색 켜다 등대 생존자 지도 위치 파악 힘드다 위치 파악 쉬다 지표 역할 해주다 오브젝트 건물 인형 밟다 소리 내다 위치 발각 깜작 상자 때때로 서랍 안이 사물 작다 깜작 상자 위치 주변 가다 열다 인형 튀어나오다 위치 발각 까마귀 지나가다 까마귀 소리 내다 위치 발각 소지 바닥 설치 크리 치다 밟다 일정 스턴 걸리다 허수아비 소지 원하다 설치 속이다 별다르다 기능 채팅 채팅 음성 채팅 일정 범위 끼리 듣다 쥐다 생존자 채팅 생존자 채팅 비밀번호 건물 랜덤 위치 필요하다 비밀번호 갯수 적다 나머지 한자리 입력 대입 해보다 찍다 맞추다 야하다 번의 기회 주어지다 실수 넣다 무조건 무기고 실패하다 계속 고음 리기 크리 치다 타겟 쉬다
In Silence,코리아 해주다
In Silence,한국인 늘다 냉큼 들어오다
In Silence,터지다 모르다 번개 괴물 동시 공포 경험 다르다 좋다 사운드 아쉽다 음악 긴장감 많이 사라지다 밸런스 부분 부분 많다 보이다 괴물 살아가다 건전지 먹다 살아나다 갈다 괴물 멘탈 부여 잡다
In Silence,재밌다 소통 돼다 공포 괴물 지나가다 짜릿하다 부족하다 한국인 부재 재밌다 몰지각하다 한국인 여성 말다 디스 코드 들어오다 디코 특성 무전 할떄 소리 괴물 찾아가다 디스 코드 끼리 얘기 괴물 걸리다 열시미 디코 서로 시시닥거리다 총기 열다 쏠때 빡치다 빼다 어케 죽이다 정나미 떨어지다 여왕 건지다 하자 건지다 친해지다 디코 이해 들다 끼리끼리 본인 끼리 오픈
