game,review
레프트 투 서바이브: 좀비 서바이벌 게임,꽤 완성도가 높고 다양한 컨텐츠와 좋은 그래픽이 장점. 단점은 클리어 보상이나 아이템 수급이 더럽게 짜다. 왠만한 상자를 까거나 이벤트를 해도 잡템도 아닌 거지같은 조각이나 재료나 한 두개 떨어져서 게임할 맛이 똑 떨어지게 만듬. / 이번 이벤트 적 체력만 미친듯이 올려놔서 자폭하는 놈한테 계속 죽음. 진짜 하면 할수록 실망만 하게 되네.
레프트 투 서바이브: 좀비 서바이벌 게임,"게임은 재미있는데 너무 심한 과금유도, 광고시청.... 난이도도 불규칙적이고 쉬운난이도인데도 골드를 소비하는 순간 난이도가 어려워지고 깨는게 어려짐 이상할정도로 골드소모이후 10에 1,2번 힘겹게 깰정도임 스트레스 유발로 과금을 유도 욱하는 순간 몇백쓰게끔 만드는 게임 열쇠, 골드소모로 뽑기해도 저~급 아이템 소모품만 나오고 고급아이템은 무료뽑기로 나오는경우가 많음 초반은 게임 하기에 템도 잘나오고 과금유도 보다는 광고 시청으로 할수있지만 지나면 지날수록 과금유도 광고 시청으로 해도 부족하고 나오는건 쓴거에 비해서는 쓰레기템만 나옴 예로 무기 업글 금액이 3만이넙는데 골드로 충당시 무기업글 금액이 현실 돈으로 주는 금액과 맞먹음 (뽑기로 할시 2천옴ㅋㅋ그냥 돈주고 하라는듯) 광고비와 과금유도로 빌딩 몇개 만들듯"
레프트 투 서바이브: 좀비 서바이벌 게임,"게임시 의료 키트가 너무 왼쪽, 아래에 있어서 의도치않게 게임도중에 의료키트가 계속 터치됩니다. 엄지 손가락 안쪽에서 많이 닿아요. 키트 위치 변경 좀 해줬으면 하거나 위치를 사용자가 커스터 마이징 가능하게 했으면 합니다. 쓰레기 게임 3년동은 열씸히 돈도 지르고 했는데 레벨 오르면 똑같다 낮은 레벨에 걍 좋은 총이 더 낫다 평점 낮출수 있을때 더 낮출거다. 렙 오르니 더어려워네 어떻게 하라고 ...돈쓰고 템좋은거 얻어야 돼냐 돈안쓰고 3년 겜해따 인자 30랩이다 랩올리니 더 겜하기 힘들다"
레프트 투 서바이브: 좀비 서바이벌 게임,즐겁게 잘하고있습니다. 클랜전이나 단체전같은거가 활성화되면 더 재밌을거같구요. 개인 미션 진행할때도 정해져있는데로 흘러가는것이 아닌 플레이어가 직접 방향조작도하며 게임이 진행되면 더 재미있을거같습니다!
레프트 투 서바이브: 좀비 서바이벌 게임,앱게임을 블루스택으로 pc에서 사용중입니다. 에뮬레이터 pc 최적화 설정을 맞추다보니까 처음 스토리를 못하고 지나갔습니다. 게임 플레이를 초기화해서 다시 시작하고 싶은데 방법을 알려주세요. 데이터가 어디에 계속 남아있는지 자꾸 레벨2부터 시작합니다. 답변 부탁드립니다.
레프트 투 서바이브: 좀비 서바이벌 게임,"광고 보상 오류가 나타납니다. 건설 스피드업 광고를 보고 난 후 골드나 팩 보상 광고 시청시 ""보상이 곧 지급됩니다"" 팝업 이후 보상 지급이 되지 않는 문제점이 있습니다. 그리고 못 받은 보상에 대한 처리는 없이 지나가시네요. 무튼 광고 보상 오류 문제 해결 부탁드립니다. please. check-out the log and test the app then fix it. don't ask for details frome the user. it's a simple error to check."
레프트 투 서바이브: 좀비 서바이벌 게임,"레프트 투 서바이브 완벽 솔직한 리뷰 1. 게임 정말 재미있다, 좀비게임으로 그래픽이나 pvp, 핼리콥터 진행 잘만들었다 2. 사용할수 있는 총이 너무 제한되있다. 여러가지 총을 사용하고 싶은데 한가지의 총으로만 써야하는 서민들은 좀 지루해지기 시작한다. 다이아몬드있으면 살수 있지만 모으기가 쉽지 않다. 3. 다이아몬드 모으기 너무어려운데 계속 현질유도하는거 열받는다. 기관총 및 스나총 무료로 사용해보기 있지만 사용하고나서 구매유도를 하지만 다이아몬드가 충분 하지못해서 현질해야하는데 이런경우가 너무 많다. 4. 다이아몬드를 좀 주고나서 현질 유도했으면 좋겠다."
레프트 투 서바이브: 좀비 서바이벌 게임,과금유도까지는 좋습니다. 어차피 상업적인 게임이니까요. 과금까지하는데 너무 광고적인것이 많아 게임의 재미를 반감시키고 선전할때는 건물짓고 성장시켜야하는 이런건 선전에서 다 빠졌네요. 총도 계속 성장시켜줘야하고 금이 저렴한것도 아니고 하실 분들은 참고 하시는 것이 좋을 거 같습니다. 전 처음 설치할때 FPS게임 인줄 알았습니다.
레프트 투 서바이브: 좀비 서바이벌 게임,"무료 골드 받으려고 3일 공들였는데 하루가 지나도록 골드가 안들어와서 지원팀에 글 쓰는데 계속 오류 뜸. 이 게임 현질 없이는 못하는 게임입니다. 현질 없이 사는 총들은 구리고, 업글 하려고 해도 파츠 먹으려면 매시간 들어와서 수거해서 모아야하고, 진화시키려면 현질하거나 피빕 상점에서 진화재료 2개씩 주는거 사야하는데 12개 필요함. 문제는 하루에 한번씩 상점 업데이트 되기에 최소 6일 소요. 더 큰 문제는 내가 필요한 진화템이 안 뜰 확률이 더 큼. 기본적으로 총기 두 종류 키워야하는데 답 없음. 이벤트로 총 먹으려고 해도 현질 필수. 응 꺼져 안해."
레프트 투 서바이브: 좀비 서바이벌 게임,"게임 중 이벤트나 원정에 들어가다 튕겨서 재 접속을 하면 원장실패 상태로 나오거나 에너지팩이 소멸 되는 경우가 있네요. 오늘도 이벤트 접속 하는 순간 겜이 꺼졌고 재접속하니 에너지팩 2개 소멸 되고, 연승 보너스도 사라진 상황입니다. 요즘 들어 게임이 원활하지 않다는 느낌을 자주 받습니다."
레프트 투 서바이브: 좀비 서바이벌 게임,현질 안하시는분에게는 비추천게임. 노현질 유저라면 스테이지 3번까지에서만 놀뿐 광고 계속 시청해도 당신은 그 스테이지에서 쓸수있는 총을 구할뿐 그 다음스테이지용 총을 모으려면 다시 몇백시간의 광고를 보고 다시 반복해야 한다 현질하신다면 그것에서 해방될거같지만 다음 스테이지용 총을 새로 구입하기위해 현질을 또다시 반복해야한다 좋은게임 총구매로 망작됨
레프트 투 서바이브: 좀비 서바이벌 게임,"게임 개발사가 네덜란드 인것으로 아는데 어느 정도 중상위 레벨까지 현질 안하면 하기 힘들고 렉, 버그 등 전혀 관리가 안되며 업데이트 할때 마다 문제가 없던적이 없을 정도로 개판인 게임. 지금도 게임접속 하면 업데이트 하라고 떠서 누르면 플레이 스토어로 바로 연결 되는데 업데이트가 없고 플레이 하라고 나옴. (게임을 못하고 있음.ㅋㅋ) 이 게임에 발 들여놓는 순간부터 비극의 시작. 절대 비추!! (2년 6개월 경험)"
레프트 투 서바이브: 좀비 서바이벌 게임,난이도조절이필요합니다 캠페인이 올라간다고 좀비무리 난이도를 올리면 어차피 총도 기지렙에따라 올려야되는데 그럼 결국 아무리 총이좋아도 쉬움밖에 못하고 기지업만 해야되는데 9-11총은 30렙에 업그레이드되면 있어도 제대로 쓰지못하는총이고 결국 낮은걸로 업해서 깨야되는데 현질유도를 계속 할려면 어느정도 난이도 밸런스를 좀 맞춰야되지않나요? 아님 캠페인난이도를 내릴수있는방법이나 총업그레이드를 좀 낮추든가해서 발란스를 좀 맞쳐줬으면 좋겠네요
레프트 투 서바이브: 좀비 서바이벌 게임,게임 나온지도 거의 4년이 다되가네요~~ 이제 오래되서 신경을 안쓰시는건지~~~ 원정 맵 좀 바꿔주세요!!넘 지루하네요ㅜㅜ 그리고 헬기운영 방식도 기지점수에 따라 차등을 준다든지 이것저것 업그레이좀 해주시고요~~이것또한 헬기타는것도 넘 지루합니다 너무 과금만 신경쓰지마시고 게임방식 좀... 업뎃이요~^^
레프트 투 서바이브: 좀비 서바이벌 게임,레이드 중 일시정지 걸어뒀는데 제멋대로 풀리면서 실패 뜸. 이걸로 거의 30연승 가고 있었는데 깨졌다. PVP 중 렉은 기본이고 정면에서 사격하는데 히트 판정 안 뜸. 죽은 놈이 그 자리에 멀쩡하게 서있을 때도 있음. PVP 접속 중 에러 나면서 상대가 안 보임. 그러다 갑자기 종료됐는데 이쪽 팀이 패배한 걸로 나옴. 1 대 1 PVP에서 분명히 한번 죽였는데 킬 카운트 안 올라가고 무승부. 레이드에서 상대 전력 표시보다 이상할 정도로 강한 적. 심지어 51200 전력으로 39520짜리 기지를 레이드하는데 첫 포탑군도 격파 못 하고 죽은 적도 있을 정도. 이럴거면 전력 수치가 무슨 의미가 있나? 버그가 산적한 아주 형편없는 게임이다. 혹시 핸드폰 기종이 낡았다던지 회선이 안좋아서 그런 거라든지 말할까봐 미리 밝혀두는데 폰은 노트8에 중계기 바로 옆에 두고 게임하니까 그런 핑계는 대지도 마시지. 현질은 잘 판단하세요. 그럴 가치가 있을지.
레프트 투 서바이브: 좀비 서바이벌 게임,"이 게임 아예 시작하지 말기를 바랍니다. 첫째. 남자들에겐 중독성이 너무 강합니다. 둘째. 일단 중독되면 현찰을 게임에 쏟아 붓게 됩니다. 셋째. 현질 하지 않않고는게임을 지속할수 없는 구조로 만들어졌습니다. 넷째, 한번 현질하기 시작하면 한달에 몇십만원 결재하게됩니다. 다섯째, 아무리 돈을 써도 항상 케릭터 상황은 똑같습니 다. 게임환경이 레벨 상승되면서 계속 어려위 집니다. 여섯째, 현질해야하는 상황은 이게임을 포기하지 않는 이상 자신이 늙어 죽을때까지 계속해야만 되는 게임 구조입니다. 결론적으로 시작하지 마세요 제발."
