game,review
Jewels of Egypt: 이집트 짝맞추기 게임,업데이트도 없는데 왜 계속 게임이 안들어가지는건지.. 아침까지도 잘햇었는데 로딩화면에서 그냥 팅겨나와버리네요 겜지우고 다시깔앗드만 접속되더니 내계정으로 접속하니 팅기네 또 정말 열받고 화나네 이래노코 문의하면 또 영어로 메일보내라하겟지요? 이런식으로할꺼면 한국에 출시를하질말던가 신경질테스트하는것도 아니고.. 겜 잼나서 시작햇다가 정말이지 정내미 다떨어지네요
Jewels of Egypt: 이집트 짝맞추기 게임,계속적으로 파져드는 이국적인 테마 스토리라인과 스피한 전개가 넘 맘에 듭니다. 늦은 건지 잘 모르겠지만 순식간에 3주만에 56레벨까지 도달. 앞으로도 쭉 나의 힐링 겜으로 ~ 👍
Jewels of Egypt: 이집트 짝맞추기 게임,"인벤토리에 있는 에너지를 사용하기 누르면, 에너지는 안채워지고, 없어져버리네요. 오늘만 2번째 에너지만 날아갔어요..(오전) 오후 6시 20분. . 혹시나 하고 에너지(100) 포인트 아이템 두번 사용하기 눌렀는데, 에너지는 안 차고 다 날아가 버리네요..내 폰만 그런건가..."
Jewels of Egypt: 이집트 짝맞추기 게임,어제부터 게임에서 출근 보상만 뜨고나면 바로 팅깁니다. 수정도 사놓은게 남아있고 에너지도 많이 모아놓았는데..
Jewels of Egypt: 이집트 짝맞추기 게임,계속재미나게잘사용하고있었는데... 갑자기오늘오후부터로딩하고나면바로팅겨나가네요... 이게임말고히든시티는접속이잘되던데... 이것만..정말속상하네요.. 혹시나해서 삭제했다다시설치도해봤는데..소용이없네요..ㅜㅠ 빠른해결부탁드립니다
Jewels of Egypt: 이집트 짝맞추기 게임,자동 업뎃 해놨는데 더이상 업데이트가 되질안아요... 결제도 안되구요... 애플도움주시는 분들과 통화해가며 결제도 해봤는데 안되더군요...
Jewels of Egypt: 이집트 짝맞추기 게임,앱이 오류나서 안되고 계속 튕겨져요..수정도 결제 다 해놨는데...빨리 복구해주세요..게임실행이 아예 안되니까 짜증나요
Jewels of Egypt: 이집트 짝맞추기 게임,유일하게 꾸준히 하는 퍼즐 게임 이예요. 천천히 하기에도 좋구요. 매번 업데이트 해줘서 너무 감사드려요 ^^!
Jewels of Egypt: 이집트 짝맞추기 게임,어제부터 게임실행이 되지 않아요 계속 들어가면 강제종료되면서 꺼집니다
Jewels of Egypt: 이집트 짝맞추기 게임,"재미있어요, 이게임만 해요 . 잘못된건 빠른 조치해주고 게임하기 불편함이없게 해주시네요"
Jewels of Egypt: 이집트 짝맞추기 게임,지금 딴곳이 클릭이 안되고 저택만 계속하게 방향키가 가르키고 있어요...어서 고쳐주세요
Jewels of Egypt: 이집트 짝맞추기 게임,컴에선 업데이트돼서 새로운 퀘스트하고있는데 폰은 업데이트가 안뜨네요
Jewels of Egypt: 이집트 짝맞추기 게임,재밌게하고 있는데 실행시켰을때 저절로 꺼지네요.. 어떻게 해야하나요?
Jewels of Egypt: 이집트 짝맞추기 게임,기존 게임들이랑 비슷해서 새롭진 않음..근데 시간때우기는 괜찮음..
Jewels of Egypt: 이집트 짝맞추기 게임,ㅣㅇ것도 튕김. 로마나 이집트나. 이 회사 게임은 다 그런가 봄. 이런걸로 어떻게 돈 버시나
Jewels of Egypt: 이집트 짝맞추기 게임,9월 28일 업데이트를 해도 강제종료 증상 고쳐지지 않았습니다.
Jewels of Egypt: 이집트 짝맞추기 게임,꾸준히 하는 게임인데 오늘은 튕겨서 할 수가 없네요. 저만 이런가요? 다시 깔아도 안되는 이유가 뭘까요?
Jewels of Egypt: 이집트 짝맞추기 게임,자꾸튕겨요개선해주세요. 딸기이벤트완료후엔튕겨져나와요안들어가져요;;
Jewels of Egypt: 이집트 짝맞추기 게임,"It in not update on Playstore, however Window version has been updated. So, it cannot read the data from G5 profile, and mass up. Why don't you guys update simultaneously?"
