game,review
GUNS UP! Mobile,"가챠겜에 천장도 없으며, 최근 서버도 불안정하고, 오류도 많지만 최근 밸런스 패치로 전설병력과 일반병력의 격차가 줄어들고, 일부 기본유닛들은 재발견되어가고 있으며. 초기 배틀패스의 경우에는 주는 재화가 적다는 문제도 있었지만, 최근 배틀패스는 전설병력 조각도 확정으로 주는 등으로 미래지향적으로 보았을때 점점 괜찮은 겜이 되어가고 있다고 생각합니다. 비록 병력구성에 대한 선택지가 아직은 너무 좁아서 힘든감은 있지만, 본인의 기지를 직접 설계하는것 자체는 매우 재밌으니 추천"
GUNS UP! Mobile,"재밌긴 한데 레벨 업 할수록 난이도가 기하급수적으로 어려워져서, 개정 리셋하고 재시작 합니다. 팁 드리자면 본진 레벨 올라갈수록 난이도는 제곱으로 올라갑니다(과금러도 제곱으로 등장) 재밌게(=이기는)게임 하고 싶으시면 본진 메인건물은 업그레드 하지말고 디펜스위주로 플레이하면 킬링타임용으로 좋을거에요."
GUNS UP! Mobile,재미잇는데 탄약모으기가 너~~~~~무 어려움... 돈은 금방금방 모이는데 퀘스트 깨는데도 탄약은 보상이 너무 적음 탄약관련해서 밸런스 조정 좀 해야할거 같아요 // 어느정도 렙업하면 이제 탄약모으는건 어렵지 않은데 근데 밸런스가 좀 아쉽고 (특정 유닛만 있으면 그냥 다 털어버릴 수 있음 근데 그걸 얻으려면 현질을 겁나해야함 쉽게 나오지 않음) 버그인지 분명 저격수가 쏘고 벽이나 돌에 맞은거 아닌데 유닛이 안죽음 그리고 재장전했는데 또 재장전하거나 타겟을 잡았으면 쏴야하는데 그 타겟이 죽지도 않았는데 계속 타겟을 변경변경하다 쏘지도 못하고 죽는경우도 허다함
GUNS UP! Mobile,"판강 광고 보고 재밌게 하는중인 유저입니다. 오늘로 5일째 플레이중이고 사령부는 5렙이네요. 과금이나 다른건 다 상관 없는데, 병력들 아이템 세팅이 너무 귀찮네요. 공격 다닐 때랑 기지 수비 맡길 때랑 장비 세팅을 다르게 하는 편인데, 일일이 아이템 갈아끼워 주려니 시간이 오래걸리고 한번씩 까먹으면 기지 방어율도 낮아집니다. 방어랑 공격 세팅을 따로 할 수 있게 편의성을 개선해주시면 좋겠습니다."
GUNS UP! Mobile,"재미있고 컨텐츠가 적다고 생각되는데도 불구하고 한판한판이 적절한 길이를 가지고 있으면서 컨텐츠들이 어렵고 재미있어서 적다는 생각이 안 들고 오히려 풍성해보인다는것이 이 게임의 장점 입니다.. 만 카드를 뽑기가 뒤지게 힘듭니다. 좀 쉽게 카드를 뽑을 수 있게 해주고 카드종류를 빠르게 늘리지 않고 1,2개씩 늘리다가는 접는인원이 많아질 것 같습니다.."
GUNS UP! Mobile,"처음으로 리뷰 적어봅니다. 일단 공격과 수비 모두 전략이 들어가있어 상당히 흥미롭습니다. 특히 여러 병사와 장비의 수많은 조합에 따라 플레이 스타일을 만들 수 있다는 점이요. 다만 기지의 건물들의 배치를 자주 수정하거나 기지 전체를 바꿀때 시간이 많이 걸리기 때문에 기지의 형태를 덱으로 저장해 원할 때마다 바꿀 수 있게 했으면 좋겠습니다. 그리고 일부 장비(할인, 커피 등)는 수비하는 병력에겐 효과가 없어서 다시 장비를 바꾸지 않는 한 효율이 떨어진다는 점이 있습니다. 이 두 점만 참고해주신다면 더 멋진 게임이 될 것 같습니다. 앞으로도 멋진 업데이트 부탁드립니다."
GUNS UP! Mobile,화학병 있고 없고 차이가 크다. 화학병 공격에 스치기만해도 중독이 되어버리는데 이 중독증상이 1분이지나도 풀릴생각을 안한다. 그와중에 독걸린애가 죽으면 독구름으로 인해 또 중독됨. 중독되고나서 일제사격 명령 내리면 애들이 평소 일제사격의 반도 제대로 못 쏨. 화학병있는 사람들은 무조건 방어진형에 화학병 집어넣을 정도. 밸런스는 어따갖다 팔아먹었나? 독면역 말곤 쓸곳없는 방독면을 착용해야하는데 화학병 없는곳에선 쓸모없으니 템을 계속 바꿔 착용해야하는 귀찮음까지. 패스가 좋아졌다? 전설병종 조각주니까? 말도 안되는 소리다. 일단 패스만으론 절대 전설병종 완성이 불가능하다. 운이 엄청나게 좋다면 가능할지도 모르지만 일반적으론 불가능한게 맞다. 그러면 패스 정도만 지르는 소과금은 결국 완성이 불가능하다. 어느세월에 다이아를 모아서 그걸 만드나? 만들때쯤이면 단물 다 빠지고 새로운 병종에게 고통받고있겠지. 즉 꼬우면 현질하란거지. 현질유도의 한가지 방법일뿐 유저 좋으라고 주는게 아니다
GUNS UP! Mobile,"갓겜을 망치고 있넹. 초반에 완전 인생겜 이어서 현질도 많이하고 정말 잼있게 했는데 몇번 업데이트를 거치면서 점점 게임이 이상해져감 1.화학병: 이놈때문에 게임이 시원스럽지 못하고 지저분해진 느낌..상대수비덱이 화학병 있으면 도전의식이 생기기보단 짜증이남.. 2.수비등급: 렙업을 해도 수비등급이 동일? 렙업을해서 내 기지가 강해졌다고 느끼게 해줘야하는데 이건뭐 렙업하면 수비등급 개떡락 5렙이어도 수비등급 80점 8렙도 수비등급 80점 이게 맞는이야기? 3.랭킹시스템 부재: 유저들 돈을 쳐바르든.하루 10시간씩 겜을하든 내가 쎄지면 내 등수 알고싶음이 당연한데 그게 1도없음.. 그냥 많이 이기면 내가 쎈가보다~하고 마는거다. 내가 상위 어느정도레벨에 있는지는 알게 해줘야 성취감이 있지. 다른겜에는 다 있는데 ㅉㅉ 4.수많은 버그, 오류.. 에고이건 답이 없음.. 갓겜을 갖고와서 모바일화 해놨으면 제대로 해야지 이걸 망치는것도 재주라면 재주다"
GUNS UP! Mobile,골드와 탄약 소모 비율이 안맞아요. 일꾼을 구매해도 골드가 남아요. 건물을 제외한 모든 업그레이드가 탄약을 사용해요. 근거는 없지만 소모 비율이 2:8 같습니다. 이렇게 썼다고.. 탄약 소모하는곳에 골드까지 소모하게 하지는 마시구요... p2w을 해도 골드보다는 탄약만 사게 될거에요. 탄약은 노가다로 벌면되는데 그렇게되면 골드가 넘쳐서 버려야해요.
GUNS UP! Mobile,천장이 없어서 좋지만 가이드 및 설명이 조금 부족한 느낌이 있습니다. 업그레이드에 필요한 재화가 많이 드는점이 단점이긴 합니다. 베테랑 진화조건이 자세하게 없어서 게임 끝나면 바꿀 수 있는 신규 풀피 베테랑이랑 바꿔도 되는지 모르겠네요
GUNS UP! Mobile,터치에 버그가 있어 유령 게임이 된다가 시간 개념이 없어 전투 중 전투가 끝나는 일이 비일비재한데 오류까지 수시로 있어 나가기도 안되고 강제종료 시켜두면 배터리만 잡아 먹는 게임으로 변질 중. 업글 후 심각한 게임이 된 모바일 게임.
